TimeInterval,TradeCount,Volume,NYSE MKT,NYSE Arca SM,NASDAQ OMX BX,BATS,National,NASDAQ,CBOE,Direct Edge X,NASDAQ OMX PSX,BATS Y,Direct Edge A
2014-03-13 09:32:55,1,200,0,0,0,200,0,0,0,0,0,0,0
2014-03-13 09:32:56,7,700,0,0,0,0,700,0,0,0,0,0,0
2014-03-13 09:33:01,4,489,0,200,0,0,0,189,0,100,0,0,0
2014-03-13 09:33:06,4,1100,0,900,0,0,0,200,0,0,0,0,0
2014-03-13 09:33:09,2,500,0,0,0,500,0,0,0,0,0,0,0
2014-03-13 09:33:10,37,9400,0,6900,0,400,0,1500,0,600,0,0,0
2014-03-13 09:33:11,23,3792,0,2092,0,0,0,0,0,1700,0,0,0
2014-03-13 09:33:16,20,3000,0,0,1100,200,0,700,0,0,0,0,1000
2014-03-13 09:33:21,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:33:23,41,10908,0,900,1500,1400,0,1508,0,0,0,300,5300
2014-03-13 09:33:24,7,800,0,0,0,300,0,100,0,400,0,0,0
2014-03-13 09:33:26,3,300,0,200,0,100,0,0,0,0,0,0,0
2014-03-13 09:33:27,2,400,0,0,300,100,0,0,0,0,0,0,0
2014-03-13 09:33:29,23,3100,0,0,500,700,0,900,0,0,0,800,200
2014-03-13 09:33:32,1,1000,0,0,0,0,0,0,0,0,0,0,1000
2014-03-13 09:33:34,2,1000,0,0,0,0,0,0,0,0,0,0,1000
2014-03-13 09:33:37,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:33:38,3,1000,0,0,0,0,0,0,0,1000,0,0,0
2014-03-13 09:33:39,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:33:42,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:33:51,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:33:53,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:33:54,1,22,0,0,22,0,0,0,0,0,0,0,0
2014-03-13 09:33:55,1,1000,0,0,0,0,0,0,0,1000,0,0,0
2014-03-13 09:33:59,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:34:04,17,8000,0,1200,0,500,0,2700,0,3300,0,200,100
2014-03-13 09:34:15,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:34:16,2,300,0,0,0,200,0,0,0,0,0,0,100
2014-03-13 09:34:18,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:34:20,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:34:30,28,7116,1000,616,0,900,0,1400,0,3200,0,0,0
2014-03-13 09:34:35,58,15012,0,10042,300,1400,0,2670,0,200,0,300,100
2014-03-13 09:34:36,2,300,0,300,0,0,0,0,0,0,0,0,0
2014-03-13 09:34:37,10,1700,0,1600,0,100,0,0,0,0,0,0,0
2014-03-13 09:34:38,2,200,0,200,0,0,0,0,0,0,0,0,0
2014-03-13 09:34:39,1,100,0,100,0,0,0,0,0,0,0,0,0
