TimeInterval,TradeCount,Volume,Chicago,NASDAQ OMX BX,National,Direct Edge A,BATS,NASDAQ OMX PSX,Direct Edge X,NYSE Arca SM,CBOE,NASDAQ,BATS Y
2014-03-13 09:32:17,1,50,0,0,0,0,0,0,0,50,0,0,0
2014-03-13 09:32:18,2,200,0,0,0,0,0,0,100,0,0,100,0
2014-03-13 09:32:20,6,960,0,0,0,0,0,0,800,160,0,0,0
2014-03-13 09:32:21,5,319,0,0,0,0,0,0,299,20,0,0,0
2014-03-13 09:32:22,3,300,0,0,0,0,0,0,200,0,0,100,0
2014-03-13 09:32:24,3,174,0,0,0,0,74,0,0,0,0,100,0
2014-03-13 09:32:28,1,83,0,0,0,0,0,0,0,83,0,0,0
2014-03-13 09:32:29,5,400,0,0,0,0,326,0,0,0,0,74,0
2014-03-13 09:32:31,19,1804,0,100,0,14,300,0,805,300,0,285,0
2014-03-13 09:32:32,26,3108,0,0,0,0,0,0,2220,192,0,696,0
2014-03-13 09:32:33,9,1078,0,0,0,0,400,0,0,443,0,235,0
2014-03-13 09:32:34,2,110,0,0,0,100,0,0,10,0,0,0,0
2014-03-13 09:32:37,6,740,0,0,0,0,0,0,100,0,0,640,0
2014-03-13 09:32:38,82,15757,0,0,0,100,0,0,3011,5267,0,7179,200
2014-03-13 09:32:39,5,159,0,72,0,0,57,0,0,2,0,28,0
2014-03-13 09:32:42,9,558,0,57,0,0,0,0,250,8,0,243,0
2014-03-13 09:32:44,4,400,0,0,0,0,0,0,0,0,0,400,0
2014-03-13 09:32:45,2,93,0,0,0,0,0,0,0,0,0,93,0
2014-03-13 09:32:48,1,55,0,0,0,0,0,0,0,0,0,55,0
2014-03-13 09:32:49,36,2031,0,0,0,0,0,0,529,500,0,1002,0
2014-03-13 09:32:50,2,200,0,100,0,100,0,0,0,0,0,0,0
2014-03-13 09:32:51,1,1,0,0,0,0,0,0,1,0,0,0,0
2014-03-13 09:32:55,2,200,0,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:32:56,6,500,0,0,0,0,100,0,0,100,0,300,0
2014-03-13 09:32:58,10,1302,0,100,0,0,0,0,995,0,0,207,0
2014-03-13 09:32:59,14,1221,0,0,0,0,0,0,100,300,100,721,0
2014-03-13 09:33:01,6,800,0,0,0,0,0,0,200,500,0,100,0
2014-03-13 09:33:02,41,6384,0,100,0,0,0,0,4403,10,0,1771,100
2014-03-13 09:33:03,11,609,0,0,0,0,0,0,290,35,0,284,0
2014-03-13 09:33:04,2,100,0,50,0,0,0,0,0,50,0,0,0
2014-03-13 09:33:05,1,19,0,0,0,0,0,0,19,0,0,0,0
2014-03-13 09:33:07,1,1,0,0,0,0,0,0,0,0,0,1,0
2014-03-13 09:33:08,2,135,0,0,0,0,0,0,0,0,0,135,0
2014-03-13 09:33:10,5,143,0,0,0,0,0,0,0,0,0,143,0
2014-03-13 09:33:11,21,1337,0,100,0,0,174,0,0,0,0,1060,3
2014-03-13 09:33:12,10,1071,0,100,0,200,0,0,0,0,0,671,100
2014-03-13 09:33:13,13,3666,0,100,0,0,0,0,250,0,0,3316,0
2014-03-13 09:33:14,17,2712,0,200,0,246,0,0,600,0,0,1666,0
2014-03-13 09:33:15,2,200,0,100,0,0,0,0,0,0,0,100,0
2014-03-13 09:33:22,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:33:25,1,66,0,0,0,0,0,0,66,0,0,0,0
2014-03-13 09:33:26,1,35,0,0,0,0,0,0,0,0,0,35,0
2014-03-13 09:33:31,3,89,0,0,0,0,0,0,34,0,0,55,0
2014-03-13 09:33:32,3,431,0,0,0,0,0,0,331,0,0,100,0
2014-03-13 09:33:33,6,614,0,100,0,0,0,0,14,0,0,400,100
2014-03-13 09:33:34,1,256,0,0,0,0,0,0,256,0,0,0,0
2014-03-13 09:33:35,2,120,0,0,0,0,0,0,0,20,0,100,0
2014-03-13 09:33:36,3,200,0,0,0,0,0,0,0,0,0,100,100
2014-03-13 09:33:37,5,500,0,0,0,0,0,0,0,0,0,0,500
2014-03-13 09:33:39,14,1850,0,0,0,100,0,0,0,50,0,1700,0
2014-03-13 09:33:40,2,115,0,15,0,0,0,0,0,100,0,0,0
2014-03-13 09:33:42,8,860,0,400,0,100,0,0,0,160,0,0,200
2014-03-13 09:33:43,3,500,0,0,0,0,0,0,100,0,100,300,0
2014-03-13 09:33:46,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:33:47,4,600,0,0,0,0,0,0,0,100,0,0,500
2014-03-13 09:33:49,42,5045,0,100,0,200,200,0,387,700,0,3458,0
2014-03-13 09:33:50,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:33:51,7,1213,0,0,0,100,0,0,0,0,0,1000,113
2014-03-13 09:33:52,1,37,0,0,0,0,0,0,0,0,0,37,0
2014-03-13 09:33:53,1,199,0,0,0,0,0,0,199,0,0,0,0
2014-03-13 09:33:54,5,878,0,0,0,0,0,0,0,0,0,878,0
2014-03-13 09:33:56,3,285,0,0,0,0,0,0,0,0,0,285,0
2014-03-13 09:33:57,3,750,0,0,0,0,0,0,0,0,0,750,0
2014-03-13 09:33:58,3,325,0,0,0,0,0,0,0,0,0,325,0
2014-03-13 09:33:59,2,112,0,0,0,0,0,0,0,100,0,12,0
2014-03-13 09:34:00,8,632,0,100,0,0,0,0,100,100,0,232,100
2014-03-13 09:34:01,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:34:02,5,500,0,100,0,0,0,0,0,200,0,200,0
