"","Date","TOD","Exchange","Volume","Proportion"
"93",20140515,"After-Hours","BATS",35067,0.054863510063082
"94",20140516,"After-Hours","BATS",62372,0.0752663258853797
"95",20140519,"After-Hours","BATS",121356,0.080320445192197
"96",20140520,"After-Hours","BATS",32235,0.0609089002386472
"97",20140521,"After-Hours","BATS",16506,0.021060958882261
"98",20140522,"After-Hours","BATS",22701,0.0636906398523116
"99",20140523,"After-Hours","BATS",9993,0.0347367542877801
"100",20140527,"After-Hours","BATS",644098,0.289991459159972
"101",20140528,"After-Hours","BATS",63524,0.0660643733483647
"102",20140529,"After-Hours","BATS",13792,0.0378756463877805
"103",20140530,"After-Hours","BATS",19165,0.0368595260670799
"104",20140602,"After-Hours","BATS",38651,0.06970901522557
"105",20140603,"After-Hours","BATS",24985,0.0304228020636608
"106",20140604,"After-Hours","BATS",20189,0.0351545291340831
"107",20140605,"After-Hours","BATS",65308,0.0554352107128791
"108",20140606,"After-Hours","BATS",80657,0.0592977665833703
"109",20140609,"After-Hours","BATS",22109,0.052759813864694
"110",20140610,"After-Hours","BATS",25180,0.0545020465323668
"111",20140611,"After-Hours","BATS",594067,0.342000002302771
"112",20140612,"After-Hours","BATS",75202,0.032197860868694
"113",20140613,"After-Hours","BATS",23089,0.0437645595964919
"114",20140616,"After-Hours","BATS",36713,0.0581455753740113
"115",20140617,"After-Hours","BATS",20291,0.0210263764914106
"116",20140618,"After-Hours","BATS",31597,0.0500588564267574
"117",20140619,"After-Hours","BATS",15578,0.0412136027641528
"118",20140620,"After-Hours","BATS",12616,0.0183067158483108
"119",20140623,"After-Hours","BATS",15407,0.023230181897134
"120",20140624,"After-Hours","BATS",20609,0.0372953497083728
"121",20140625,"After-Hours","BATS",44508,0.0803293452620522
"122",20140626,"After-Hours","BATS",15220,0.0370244234698842
"123",20140627,"After-Hours","BATS",18077,0.0155851388971512
"124",20140630,"After-Hours","BATS",21018,0.0344660210095471
"125",20140701,"After-Hours","BATS",665506,0.143906319668519
"126",20140702,"After-Hours","BATS",107741,0.0578763539632096
"127",20140703,"After-Hours","BATS",107490,0.0541457871162344
"128",20140707,"After-Hours","BATS",22422,0.040352159061869
"129",20140708,"After-Hours","BATS",35249,0.0470113910831865
"130",20140709,"After-Hours","BATS",29970,0.0486937024761162
"131",20140710,"After-Hours","BATS",114730,0.0710120187516789
"132",20140711,"After-Hours","BATS",23140,0.0348168354596078
"133",20140714,"After-Hours","BATS",69376,0.0436444252638916
"134",20140715,"After-Hours","BATS",1836701,0.480752629912027
"135",20140716,"After-Hours","BATS",497286,0.108720656566198
"136",20140717,"After-Hours","BATS",68898,0.0179840613261242
"137",20140718,"After-Hours","BATS",598170,0.0925855557741412
"138",20140721,"After-Hours","BATS",24500,0.0575519964670121
"139",20140722,"After-Hours","BATS",36791,0.0487751525259248
"140",20140723,"After-Hours","BATS",18130,0.0273070544981331
"141",20140724,"After-Hours","BATS",26068,0.0393752643344813
"142",20140725,"After-Hours","BATS",13477,0.0367643448324777
"143",20140728,"After-Hours","BATS",14176,0.0417422439989635
"144",20140729,"After-Hours","BATS",151104,0.0505651196915977
"145",20140730,"After-Hours","BATS",87555,0.028139378224354
"146",20140731,"After-Hours","BATS",60680,0.0347366528933663
"147",20140801,"After-Hours","BATS",52105,0.0480325594472637
"148",20140804,"After-Hours","BATS",25878,0.053246256219059
"149",20140805,"After-Hours","BATS",29579,0.056028579708937
"150",20140806,"After-Hours","BATS",166703,0.0608639013460282
"151",20140807,"After-Hours","BATS",149001,0.0963007821639222
"152",20140808,"After-Hours","BATS",28828,0.0572170309386388
"153",20140811,"After-Hours","BATS",33062,0.0452175054740507
"154",20140812,"After-Hours","BATS",15887,0.0190168275043152
"155",20140813,"After-Hours","BATS",27121,0.0469945885439319
"156",20140814,"After-Hours","BATS",18565,0.0554260175368935
"157",20140815,"After-Hours","BATS",28267,0.0651263843993429
"158",20140818,"After-Hours","BATS",27394,0.048780314078696
"159",20140819,"After-Hours","BATS",18090,0.0222865041603938
"160",20140820,"After-Hours","BATS",17126,0.0409003522598364
"161",20140821,"After-Hours","BATS",201350,0.0947238776620068
"162",20140822,"After-Hours","BATS",59540,0.0673702410008
"163",20140825,"After-Hours","BATS",31567,0.0371598555371916
"164",20140826,"After-Hours","BATS",23039,0.0429154729661765
"165",20140827,"After-Hours","BATS",25178,0.0222371973606466
"166",20140828,"After-Hours","BATS",35656,0.039498098539204
"167",20140829,"After-Hours","BATS",48810,0.0463187462338143
