TimeInterval,TradeCount,Volume,Chicago,NASDAQ OMX BX,Direct Edge A,NASDAQ OMX,Direct Edge X,NASDAQ OMX PSX,NYSE Arca SM,BATS Y,NYSE,BATS,National
2014-03-13 09:35:29,5,575,0,275,0,0,0,0,100,0,100,0,100
2014-03-13 09:35:32,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:35:35,23,4175,0,174,1,400,1000,600,1200,0,100,600,100
2014-03-13 09:35:36,2,400,0,0,0,0,0,200,0,0,200,0,0
2014-03-13 09:35:39,1,200,0,0,0,0,0,0,200,0,0,0,0
2014-03-13 09:35:40,2,8,0,0,0,0,0,0,5,0,0,3,0
2014-03-13 09:35:41,1,97,0,0,0,0,0,0,0,0,97,0,0
2014-03-13 09:35:42,2,400,0,0,0,300,0,0,0,0,100,0,0
2014-03-13 09:35:43,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:35:49,15,4260,0,0,0,1260,200,400,2000,0,100,300,0
2014-03-13 09:35:51,10,1100,0,100,100,200,100,0,200,200,100,100,0
2014-03-13 09:35:52,7,1000,0,300,0,0,0,0,0,0,700,0,0
2014-03-13 09:35:53,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:35:55,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:36:00,5,328,0,0,0,100,0,0,100,0,0,128,0
2014-03-13 09:36:01,3,289,0,0,0,0,0,0,0,0,280,9,0
2014-03-13 09:36:06,2,200,0,0,0,0,0,0,100,0,100,0,0
2014-03-13 09:36:07,2,300,0,0,0,200,0,0,100,0,0,0,0
2014-03-13 09:36:12,27,3746,0,300,0,1146,1100,0,1200,0,0,0,0
2014-03-13 09:36:13,4,438,0,0,0,0,0,0,238,0,100,100,0
2014-03-13 09:36:14,18,3149,0,0,0,378,200,200,1996,0,0,375,0
2014-03-13 09:36:16,12,1197,0,0,0,431,0,200,366,0,200,0,0
2014-03-13 09:36:28,20,4342,0,400,825,400,0,400,192,1000,800,325,0
2014-03-13 09:36:30,2,200,0,0,0,0,0,0,200,0,0,0,0
2014-03-13 09:36:32,2,200,0,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:36:34,2,200,0,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:36:39,6,472,0,0,77,172,223,0,0,0,0,0,0
2014-03-13 09:36:41,12,1177,0,0,0,700,277,0,200,0,0,0,0
2014-03-13 09:36:45,3,300,0,0,0,200,0,0,0,0,100,0,0
2014-03-13 09:36:47,6,601,0,0,0,0,0,0,301,100,100,100,0
2014-03-13 09:36:49,23,2979,0,200,400,600,700,200,100,0,100,679,0
2014-03-13 09:36:50,7,2646,0,0,0,100,0,300,2100,0,100,46,0
2014-03-13 09:36:54,18,3010,0,300,300,100,100,0,800,100,1170,140,0
2014-03-13 09:37:00,2,102,0,2,0,0,0,0,100,0,0,0,0
2014-03-13 09:37:03,1,146,0,0,0,0,0,0,0,0,146,0,0
2014-03-13 09:37:05,15,1754,0,200,100,400,100,0,300,0,454,200,0
2014-03-13 09:37:09,4,700,0,400,0,0,0,100,100,0,100,0,0
2014-03-13 09:37:10,3,300,0,0,0,100,200,0,0,0,0,0,0
2014-03-13 09:37:11,2,200,0,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:37:18,29,3478,0,100,200,1072,936,0,670,100,200,200,0
2014-03-13 09:37:20,2,200,0,0,0,0,0,0,0,0,100,100,0
2014-03-13 09:37:24,5,600,0,0,0,0,100,0,300,0,200,0,0
2014-03-13 09:37:25,1,18,0,0,0,0,0,0,18,0,0,0,0
2014-03-13 09:37:26,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:37:27,9,982,0,0,0,500,0,0,382,0,0,100,0
2014-03-13 09:37:28,4,400,0,0,0,100,100,0,0,0,200,0,0
2014-03-13 09:37:31,23,3429,0,100,0,900,1129,0,1100,0,100,100,0
2014-03-13 09:37:33,2,101,0,0,0,100,0,0,0,0,1,0,0
2014-03-13 09:37:35,2,200,0,0,0,0,0,0,200,0,0,0,0
2014-03-13 09:37:39,3,300,0,0,0,100,100,0,100,0,0,0,0
2014-03-13 09:37:41,8,1433,0,0,0,100,100,0,100,0,1133,0,0
2014-03-13 09:37:42,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:37:43,3,200,0,0,0,0,0,0,133,0,67,0,0
2014-03-13 09:37:46,4,400,0,100,0,100,100,0,100,0,0,0,0
2014-03-13 09:37:47,3,200,0,0,0,0,0,0,200,0,0,0,0
2014-03-13 09:37:48,1,99,0,0,0,99,0,0,0,0,0,0,0
2014-03-13 09:37:52,20,3702,0,100,0,1600,200,0,1500,0,302,0,0
2014-03-13 09:37:53,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:37:56,22,2900,0,100,200,700,600,0,900,0,200,200,0
2014-03-13 09:37:59,4,400,0,0,0,0,0,0,100,0,300,0,0
2014-03-13 09:38:00,9,801,0,0,0,400,0,0,301,0,100,0,0
2014-03-13 09:38:01,1,99,0,0,0,0,0,0,99,0,0,0,0
2014-03-13 09:38:05,40,8581,0,100,0,1605,300,600,2051,0,3025,900,0
2014-03-13 09:38:10,10,987,0,178,100,100,0,0,9,300,300,0,0
2014-03-13 09:38:11,10,1100,0,0,100,300,300,0,300,0,0,100,0
2014-03-13 09:38:12,2,400,0,0,0,0,0,0,0,0,400,0,0
2014-03-13 09:38:14,18,2422,0,222,200,200,400,0,0,1200,200,0,0
2014-03-13 09:38:17,3,300,0,0,0,0,0,0,300,0,0,0,0
2014-03-13 09:38:18,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:38:30,2,500,0,500,0,0,0,0,0,0,0,0,0
2014-03-13 09:38:31,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:38:36,2,200,0,0,0,0,0,0,200,0,0,0,0
2014-03-13 09:38:37,24,4000,0,500,0,800,1000,0,1400,0,300,0,0
2014-03-13 09:38:39,2,103,0,0,0,3,0,0,0,0,100,0,0
2014-03-13 09:38:44,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:38:45,4,457,0,0,0,157,0,0,300,0,0,0,0
2014-03-13 09:38:52,18,2472,0,0,0,472,600,100,1100,0,0,200,0
2014-03-13 09:38:54,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:38:57,8,1500,0,0,0,300,200,0,900,0,100,0,0
2014-03-13 09:39:01,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:39:02,2,300,0,0,0,0,0,0,200,0,100,0,0
2014-03-13 09:39:05,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:39:06,10,701,0,0,0,200,0,100,301,100,0,0,0
2014-03-13 09:39:07,2,200,0,0,0,0,0,100,0,0,100,0,0
2014-03-13 09:39:08,10,1700,0,0,300,0,100,100,200,400,100,500,0
2014-03-13 09:39:10,8,900,0,0,0,400,0,100,0,100,300,0,0
2014-03-13 09:39:19,1,289,0,0,0,0,0,0,0,289,0,0,0
2014-03-13 09:39:20,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:39:21,1,30,0,0,0,0,0,0,0,30,0,0,0
2014-03-13 09:39:22,13,1096,0,0,185,311,0,0,200,200,0,200,0
2014-03-13 09:39:24,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:39:25,41,3559,0,100,0,1611,300,200,934,100,14,300,0
2014-03-13 09:39:27,1,24,0,0,0,0,0,0,0,24,0,0,0
2014-03-13 09:39:28,2,300,0,300,0,0,0,0,0,0,0,0,0
2014-03-13 09:39:29,2,200,0,200,0,0,0,0,0,0,0,0,0
2014-03-13 09:39:30,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:39:32,2,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:39:34,11,900,0,0,0,400,200,0,200,100,0,0,0
2014-03-13 09:39:35,3,400,0,0,0,300,0,0,100,0,0,0,0
2014-03-13 09:39:39,9,819,0,0,0,300,219,100,100,0,0,100,0
2014-03-13 09:39:40,33,4315,0,0,0,1604,981,100,1000,0,200,430,0
2014-03-13 09:39:41,3,201,0,0,0,100,100,0,1,0,0,0,0
2014-03-13 09:39:42,4,300,0,0,0,75,0,0,100,100,25,0,0
2014-03-13 09:39:43,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:39:44,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:39:46,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:39:48,3,276,0,0,0,100,0,0,100,76,0,0,0
2014-03-13 09:39:52,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:39:55,3,300,0,0,0,100,100,0,100,0,0,0,0
