TimeInterval,TradeCount,Volume,BATS Y,NASDAQ OMX PSX,Direct Edge X,Chicago,BATS,CBOE,Direct Edge A,NASDAQ,NYSE Arca SM,NASDAQ OMX BX,National
2014-03-13 09:35:00,3,15,0,0,0,0,15,0,0,0,0,0,0
2014-03-13 09:35:01,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:35:06,1,100,100,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:35:08,6,254,0,0,0,0,0,0,0,29,225,0,0
2014-03-13 09:35:12,29,1812,200,0,0,0,4,0,0,1189,319,100,0
2014-03-13 09:35:13,5,439,0,0,0,0,0,0,0,439,0,0,0
2014-03-13 09:35:14,6,312,3,0,0,0,0,0,0,121,88,100,0
2014-03-13 09:35:16,1,13,0,0,0,0,0,0,0,0,0,13,0
2014-03-13 09:35:22,1,1,0,0,0,0,0,0,0,1,0,0,0
2014-03-13 09:35:29,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:35:48,1,41,0,0,0,0,0,0,0,41,0,0,0
2014-03-13 09:35:57,1,4,0,0,0,0,0,0,0,0,4,0,0
2014-03-13 09:36:03,2,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:36:04,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:36:12,1,30,0,0,0,0,0,0,0,0,30,0,0
2014-03-13 09:36:23,8,625,0,0,0,0,0,0,0,300,225,100,0
2014-03-13 09:36:26,4,160,0,0,0,0,0,0,0,0,60,100,0
2014-03-13 09:36:29,1,10,0,0,10,0,0,0,0,0,0,0,0
2014-03-13 09:36:33,7,473,0,0,41,0,0,0,0,0,432,0,0
2014-03-13 09:36:34,1,30,0,0,0,0,0,0,0,0,30,0,0
2014-03-13 09:36:47,1,52,0,0,0,0,0,0,0,0,52,0,0
2014-03-13 09:36:59,1,70,0,0,0,0,0,0,0,0,70,0,0
2014-03-13 09:37:00,3,200,0,0,0,0,0,0,0,100,0,100,0
2014-03-13 09:37:06,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:37:12,2,103,0,0,0,0,0,0,0,0,0,103,0
2014-03-13 09:37:18,1,4,0,0,0,0,0,0,0,4,0,0,0
2014-03-13 09:37:29,7,402,0,0,40,0,100,0,0,262,0,0,0
2014-03-13 09:37:30,21,1587,0,0,200,0,609,0,0,678,0,100,0
2014-03-13 09:37:31,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:37:32,14,910,0,0,10,0,200,0,0,400,200,100,0
2014-03-13 09:37:43,4,281,0,0,0,0,0,0,0,181,0,100,0
2014-03-13 09:37:44,2,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:37:45,1,27,0,0,0,0,0,0,0,27,0,0,0
2014-03-13 09:37:49,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:37:54,6,500,0,0,264,0,0,0,0,0,0,236,0
2014-03-13 09:38:00,1,1,0,0,0,0,0,0,0,0,1,0,0
2014-03-13 09:38:02,1,99,0,0,0,0,0,0,0,99,0,0,0
2014-03-13 09:38:03,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:38:06,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:38:20,3,181,0,0,0,0,0,0,181,0,0,0,0
2014-03-13 09:38:22,2,200,0,0,100,0,0,0,0,100,0,0,0
2014-03-13 09:38:33,3,194,0,0,175,0,19,0,0,0,0,0,0
2014-03-13 09:38:38,1,1,0,0,0,0,1,0,0,0,0,0,0
2014-03-13 09:38:43,2,200,0,0,0,0,0,0,0,100,100,0,0
2014-03-13 09:38:46,5,500,0,0,0,0,100,0,0,200,200,0,0
2014-03-13 09:38:57,1,1,0,0,0,0,1,0,0,0,0,0,0
2014-03-13 09:38:59,3,400,0,0,0,0,200,0,0,100,100,0,0
2014-03-13 09:39:01,1,100,100,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:39:03,2,200,100,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:39:04,1,25,0,0,0,0,0,0,0,25,0,0,0
2014-03-13 09:39:06,1,20,0,0,0,0,0,0,0,20,0,0,0
2014-03-13 09:39:14,1,100,0,0,100,0,0,0,0,0,0,0,0
