TimeInterval,TradeCount,Volume,Chicago,NASDAQ OMX,BATS,NASDAQ OMX BX,Direct Edge X,NASDAQ OMX PSX,National,NYSE Arca SM,Direct Edge A,BATS Y,NYSE
2014-03-13 09:33:51,6,3051,0,0,0,0,0,0,0,500,0,0,2551
2014-03-13 09:33:53,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:33:54,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:33:58,12,3700,0,0,0,0,0,0,0,100,0,0,3600
2014-03-13 09:33:59,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:34:04,14,14898,0,0,100,0,100,0,0,300,0,0,14398
2014-03-13 09:34:06,8,557,0,0,0,0,0,0,0,100,0,0,457
2014-03-13 09:34:09,1,200,0,0,0,0,0,0,0,0,0,0,200
2014-03-13 09:34:11,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:34:17,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:34:18,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:34:20,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:34:27,12,1191,0,0,0,70,400,0,100,0,0,0,621
2014-03-13 09:34:28,1,200,0,0,0,0,0,0,0,0,0,0,200
2014-03-13 09:34:35,2,300,0,0,0,0,0,0,0,300,0,0,0
2014-03-13 09:34:44,1,28,0,0,0,0,0,0,0,0,0,0,28
2014-03-13 09:34:53,4,400,0,0,0,0,0,0,0,200,0,0,200
2014-03-13 09:34:55,1,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:35:00,1,93,0,0,0,0,0,0,0,0,0,0,93
2014-03-13 09:35:10,7,900,0,0,0,0,0,0,0,100,0,0,800
2014-03-13 09:35:11,3,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:35:15,2,600,0,0,400,0,0,0,0,0,0,0,200
2014-03-13 09:35:17,3,400,0,0,0,0,0,0,0,0,0,0,400
2014-03-13 09:35:28,12,1310,0,0,200,0,0,0,0,0,0,0,1110
2014-03-13 09:35:29,12,5100,0,100,100,0,0,0,0,200,0,0,4700
2014-03-13 09:35:31,3,600,0,100,300,0,0,0,0,0,0,0,200
2014-03-13 09:35:32,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:35:47,4,1300,0,0,0,0,200,0,0,300,0,0,800
2014-03-13 09:35:50,2,600,0,100,0,0,0,0,0,0,0,0,500
2014-03-13 09:35:55,2,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:36:05,2,200,0,0,0,0,0,0,0,100,0,0,100
2014-03-13 09:36:10,2,400,0,0,0,0,200,0,0,0,0,0,200
2014-03-13 09:36:14,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:36:24,6,682,0,282,300,0,0,0,0,0,0,0,100
2014-03-13 09:36:27,3,300,0,0,0,0,0,0,0,300,0,0,0
2014-03-13 09:36:28,1,83,0,0,83,0,0,0,0,0,0,0,0
2014-03-13 09:36:35,2,200,0,0,0,0,100,0,0,100,0,0,0
2014-03-13 09:36:36,4,400,0,0,0,0,200,0,0,200,0,0,0
2014-03-13 09:36:40,8,800,0,200,200,0,200,0,0,200,0,0,0
2014-03-13 09:36:44,3,600,0,100,300,0,0,0,0,0,0,0,200
2014-03-13 09:36:50,11,1024,0,427,397,0,100,0,0,100,0,0,0
2014-03-13 09:36:54,8,900,0,100,0,0,800,0,0,0,0,0,0
2014-03-13 09:36:58,1,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:36:59,5,791,0,100,100,0,91,0,0,0,0,0,500
2014-03-13 09:37:05,12,2300,0,248,200,0,252,100,0,100,0,0,1400
2014-03-13 09:37:06,1,200,0,0,200,0,0,0,0,0,0,0,0
2014-03-13 09:37:09,1,16,0,0,0,0,0,0,0,16,0,0,0
2014-03-13 09:37:12,1,200,0,0,200,0,0,0,0,0,0,0,0
2014-03-13 09:37:15,1,30,0,0,0,0,0,0,0,0,0,0,30
2014-03-13 09:37:21,5,600,0,100,100,0,100,0,0,0,0,0,300
2014-03-13 09:37:23,2,670,0,0,0,0,0,0,0,0,0,0,670
2014-03-13 09:37:31,1,180,0,0,0,0,0,0,0,0,0,0,180
2014-03-13 09:37:37,3,300,0,0,200,0,0,0,0,0,100,0,0
2014-03-13 09:37:39,1,99,0,0,99,0,0,0,0,0,0,0,0
2014-03-13 09:37:40,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:37:44,3,854,0,0,0,0,0,0,0,100,0,0,754
2014-03-13 09:37:46,1,200,0,0,0,0,200,0,0,0,0,0,0
2014-03-13 09:37:47,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:37:48,4,700,0,0,300,0,0,0,0,0,0,0,400
