NASDAQ PSX,NSX,endTime,BATS BYX,startTime,BATS EDGX,BATS BZX,BATS EDGA,totalVolume,NASDAQ,NYSE Arca,CBSX,NASDAQ BX,CHX
0.0,0.0,2014-03-03 09:32:31,0.09624639076034648,2014-03-03 09:32:26,0.31183830606352264,0.20115495668912417,0.09624639076034648,1039,0.0,0.2945139557266602,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:32:36,0.0,2014-03-03 09:32:31,0.05367686527106817,0.09071390230810521,0.05367686527106817,1863,0.23886205045625336,0.30381105743424586,0.0,0.25925925925925924,0.0
0.0,0.0,2014-03-03 09:32:41,0.0,2014-03-03 09:32:36,0.37037037037037035,0.0,0.0,810,0.6209876543209877,0.0,0.0,0.008641975308641974,0.0
0.0,0.0,2014-03-03 09:32:46,0.0,2014-03-03 09:32:41,0.0,0.0,0.0,85,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:32:51,0.0,2014-03-03 09:32:46,0.0,0.0,0.0,228,0.8114035087719298,0.0,0.0,0.18859649122807018,0.0
0.0,0.0,2014-03-03 09:32:56,0.0,2014-03-03 09:32:51,0.0,0.0,0.0,300,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:33:01,0.0,2014-03-03 09:32:56,0.0,0.03170028818443804,0.0,347,0.6023054755043228,0.2881844380403458,0.0,0.07780979827089338,0.0
0.0,0.0,2014-03-03 09:33:06,0.3333333333333333,2014-03-03 09:33:01,0.0,0.0,0.0,300,0.0,0.0,0.0,0.6666666666666666,0.0
0.0,0.0,2014-03-03 09:33:11,0.2702702702702703,2014-03-03 09:33:06,0.0945945945945946,0.05405405405405406,0.20270270270270271,370,0.15405405405405406,0.14324324324324325,0.0,0.08108108108108109,0.0
0.0,0.0,2014-03-03 09:33:21,0.0,2014-03-03 09:33:16,0.0,0.0,0.0,230,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:33:26,0.17094017094017094,2014-03-03 09:33:21,0.0,0.0,0.3418803418803419,585,0.1452991452991453,0.17094017094017094,0.0,0.17094017094017094,0.0
0.0,0.0,2014-03-03 09:33:31,0.0006165228113440197,2014-03-03 09:33:26,0.12577065351418001,0.0006165228113440197,0.0,1622,0.6288532675709001,0.02527743526510481,0.0,0.21886559802712702,0.0
0.0,0.0,2014-03-03 09:33:41,0.0,2014-03-03 09:33:36,0.0,0.20909090909090908,0.0,110,0.7272727272727273,0.0,0.0,0.06363636363636363,0.0
0.0,0.0,2014-03-03 09:33:51,0.009345794392523364,2014-03-03 09:33:46,0.0,0.009345794392523364,0.0,107,0.9345794392523364,0.009345794392523364,0.0,0.037383177570093455,0.0
0.0,0.0,2014-03-03 09:33:56,0.0,2014-03-03 09:33:51,0.6464379947229552,0.0,0.0,1137,0.35356200527704484,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:34:01,0.0,2014-03-03 09:33:56,0.21875,0.0,0.0,768,0.7734375,0.0078125,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:34:06,0.0,2014-03-03 09:34:01,0.0,0.0,0.0,100,0.0,0.0,0.0,1.0,0.0
0.0,0.0,2014-03-03 09:34:16,0.0,2014-03-03 09:34:11,0.0,0.0,0.0,275,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:34:21,0.0,2014-03-03 09:34:16,0.017857142857142856,0.0,0.0,224,0.9821428571428571,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:34:26,0.0,2014-03-03 09:34:21,0.0,0.0,0.0,206,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:34:31,0.0,2014-03-03 09:34:26,0.4409090909090909,0.09090909090909091,0.0,220,0.0,0.4681818181818182,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:34:36,0.0,2014-03-03 09:34:31,0.07787775364567173,0.031337263419174685,0.0,3223,0.5864101768538629,0.22370462302202918,0.0,0.08067018305926156,0.0
0.0,0.0,2014-03-03 09:34:41,0.2,2014-03-03 09:34:36,0.2,0.2,0.0,5,0.2,0.2,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:34:46,0.0,2014-03-03 09:34:41,0.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:34:51,0.0,2014-03-03 09:34:46,0.05794947994056464,0.0,0.0,673,0.9420505200594353,0.0,0.0,0.0,0.0
