NASDAQ BX,NSX,CHX,NYSE Arca,CBSX,endTime,totalVolume,NASDAQ PSX,BATS BYX,BATS BZX,BATS EDGA,NYSE,NASDAQ,BATS EDGX,startTime
0.012670587403576683,0.0012004978064237303,0.0,0.024174024162019185,0.0,2014-03-13 09:31:02,749689,0.0,0.011988971426818321,0.010044164980411878,0.005506283272130177,0.8801889850324601,0.01624273532091307,0.03798375059524683,2014-03-13 09:30:02
0.03354736762898493,0.006673417943765833,0.0,0.0493710652386566,0.0,2014-03-13 09:32:02,637904,0.006740826205824074,0.055337480247811585,0.05398617973864406,0.020148799819408564,0.1693718804083373,0.10419906443602799,0.500623918332539,2014-03-13 09:31:02
0.057770643978559216,0.01050375345064713,0.0,0.061709551522551885,0.0,2014-03-13 09:33:02,304653,0.003610665248659951,0.05817766442477179,0.12196498967677981,0.025478166963725943,0.30329588088743586,0.2253711599754475,0.13211752387142092,2014-03-13 09:32:02
0.06731981563010273,0.0024803125193774414,0.0,0.1043095430024183,0.0,2014-03-13 09:34:02,241905,0.014055104276472169,0.09967549244538144,0.07295839275748744,0.05325644364523263,0.11806287592236622,0.2919947913437093,0.1758872284574523,2014-03-13 09:33:02
0.03158809128958383,0.024568515447454087,0.0,0.15883545236779067,0.0,2014-03-13 09:35:02,113967,0.012459747119780287,0.11757789535567313,0.15335140874112682,0.07370554634236226,0.12722981213860152,0.15706300946765292,0.14362052172997447,2014-03-13 09:34:02
0.02292577891457675,0.0,0.0,0.09270106132870622,0.0,2014-03-13 09:36:02,222457,0.008990501535128138,0.03994030306980675,0.11568078325249374,0.08209226951725503,0.12775502681417084,0.26686955231797604,0.2430447232498865,2014-03-13 09:35:02
0.09484366602383737,0.0,0.0,0.03208877367139831,0.0,2014-03-13 09:37:02,94893,0.0,0.15652366349467295,0.17274193038474914,0.0774451224010201,0.0718177315502724,0.3322900530070711,0.0622490594669786,2014-03-13 09:36:02
0.03743870920992247,0.004830801188377093,0.0,0.018900509649525374,0.0,2014-03-13 09:38:02,82802,0.0,0.09276345981981111,0.03623100891282819,0.10091543682519746,0.16038259945411948,0.409748556798145,0.13878891814207386,2014-03-13 09:37:02
0.10816912006772328,0.0,0.0,0.028218031322014767,0.0,2014-03-13 09:39:02,21263,0.0,0.1646051827117528,0.11757513050839487,0.2792644499835395,0.054648920660301935,0.21925410337205475,0.028265061374218126,2014-03-13 09:38:02
0.049135948972780535,0.0,0.0,0.02873989468219239,0.0,2014-03-13 09:40:02,107864,0.005562560261069495,0.02410442779796781,0.06953200326336868,0.026079136690647483,0.1797819476377661,0.26514870577764593,0.3519153749165616,2014-03-13 09:39:02
0.038078270322502716,0.0,0.0,0.09733462173370375,0.0,2014-03-13 09:41:02,198696,0.014091879051415228,0.0951654789225752,0.13656540645005436,0.03372991907235173,0.1410848733744011,0.30554716753231065,0.13840238354068526,2014-03-13 09:40:02
0.19561815336463223,0.0,0.0,0.0,0.0,2014-03-13 09:42:02,20448,0.0,0.5858763693270735,0.03423317683881064,0.09634194053208138,0.05369718309859155,0.03423317683881064,0.0,2014-03-13 09:41:02
0.09704384237992562,0.007812255867004156,0.0,0.059420018124433614,0.0,2014-03-13 09:43:02,64002,0.029233461454329552,0.0953095215774507,0.0953095215774507,0.20121246211055904,0.14904221743070528,0.20624355488890972,0.05937314458923159,2014-03-13 09:42:02
0.0686902277095789,0.003537694130965437,0.0,0.07438591526043326,0.0,2014-03-13 09:44:02,84801,0.0023584627539769577,0.17254513508095423,0.08538814400773576,0.04235799106142616,0.3595476468437872,0.08018773363521657,0.11100104951592552,2014-03-13 09:43:02
0.058412678278379856,0.0,0.0,0.10945242078057985,0.0,2014-03-13 09:45:02,126137,0.011891831897064303,0.056288004312771034,0.021682773492313914,0.04173240207076433,0.3765429651886441,0.10559153935799964,0.21840538462148298,2014-03-13 09:44:02
0.1428893735429044,0.0025632348148705224,0.0,0.0300945075330275,0.0,2014-03-13 09:46:02,159564,0.003760246672181695,0.2208956907573137,0.03843598806748389,0.18336842896894037,0.2383557694718107,0.029818756110400843,0.10981800406106641,2014-03-13 09:45:02
0.09691272051996286,0.0003626973073351903,0.0,0.1073910457288765,0.0,2014-03-13 09:47:02,275712,0.007453429665738162,0.06093314763231198,0.20201151926648098,0.07542290506035283,0.2044307103064067,0.14399808495821728,0.10108373955431754,2014-03-13 09:46:02
0.1881155250636273,0.005453769424113565,0.0,0.0048688724134115305,0.0,2014-03-13 09:48:02,63259,0.008741839105897976,0.1327874294566781,0.07587853111810178,0.08419355348646042,0.3564710159819156,0.025292843706033925,0.11819662024375978,2014-03-13 09:47:02
0.2297424444513374,0.007434060196242646,0.0,0.03105968960989278,0.0,2014-03-13 09:49:02,96717,0.0010339443944704654,0.0268825542562321,0.06014454542634697,0.0464241033117239,0.47206799218338036,0.04658953441483917,0.07862113175553419,2014-03-13 09:48:02
0.10093037240185569,0.0025289494463005685,0.0,0.13101363103751557,0.0,2014-03-13 09:50:02,355879,0.02135557310209369,0.0653873929060158,0.07317936714445078,0.10138277335836057,0.1999977520449366,0.057218886194464975,0.24700530236400575,2014-03-13 09:49:02
0.05215779881816564,0.0012272423251333093,0.0,0.04768450054305473,0.0,2014-03-13 09:51:02,162967,0.027612952315499456,0.04773359023606006,0.07430952278682187,0.03313554277859935,0.2528119189774617,0.10410083022943295,0.3592261009897709,2014-03-13 09:50:02
