NYSE Arca,totalVolume,BATS EDGX,NASDAQ PSX,NYSE,endTime,BATS BYX,NASDAQ BX,startTime,CBSX,NSX,BATS BZX,NASDAQ,CHX,BATS EDGA
0.1685080937142323,128433,0.07941884095209176,0.058855590074202116,0.0,2014-03-03 09:30:31,0.04048803656381148,0.015572321755312108,2014-03-03 09:30:01,0.0,0.0007786160877656054,0.15811356894256148,0.4634712262424766,0.0,0.014793705667546503
0.3744435412069833,51666,0.07161382727519065,0.04451670344133472,0.0,2014-03-03 09:31:01,0.05419424766771184,0.015484070762203383,2014-03-03 09:30:31,0.0,0.0019355088452754229,0.057174931289435994,0.37095962528548754,0.0,0.009677544226377115
0.3706281085997676,138527,0.06701942581590592,0.02887523731835671,0.0,2014-03-03 09:31:31,0.03970345131274047,0.020934547055808616,2014-03-03 09:31:01,0.0,0.0,0.1949078518989078,0.26349375933933455,0.0,0.014437618659178355
0.031008319702259368,1843215,0.014831693535480125,0.0029839166890460417,0.8892077158660275,2014-03-03 09:32:01,0.009940782816980114,0.005784458134292527,2014-03-03 09:31:31,0.0,0.0005425303070992803,0.01723401773531574,0.025087143930577822,0.0,0.0033794212829214173
0.11256781193490054,221200,0.1551491862567812,0.023508137432188065,0.19734629294755876,2014-03-03 09:32:31,0.05133815551537071,0.07372965641952983,2014-03-03 09:32:01,0.0,0.015822784810126583,0.11147377938517179,0.20962025316455696,0.0,0.049443942133815554
0.09037211675270064,315573,0.17136763918332684,0.010140284498356958,0.1295041083996413,2014-03-03 09:33:01,0.061342383537248114,0.04956380932462536,2014-03-03 09:32:31,0.0,0.020888986066615333,0.1157893736156135,0.2863996603004693,0.0,0.06463163832140266
0.08605913562619905,293461,0.06744678168478946,0.009858209438392154,0.4475688421970892,2014-03-03 09:33:31,0.03880583791372619,0.0381175011330296,2014-03-03 09:33:01,0.0,0.0,0.10181591421006539,0.17661631358170252,0.0,0.033711464215006426
0.04513679922225823,86404,0.26994120642562847,0.009258830609693996,0.18330169899541687,2014-03-03 09:34:01,0.050923568353316975,0.12730892088329243,2014-03-03 09:33:31,0.0,0.0034720614786352484,0.07522799870376372,0.1706171010601361,0.0,0.06481181426785797
0.21224126073943492,103241,0.18847163433132186,0.0029058222992803247,0.19984308559583885,2014-03-03 09:34:31,0.05356399105006732,0.05521062368632617,2014-03-03 09:34:01,0.0,0.04843037165467208,0.0409236640481979,0.1633750157398708,0.0,0.03503453085498978
0.16800395438661025,86992,0.062431028140518666,0.0034485929740665808,0.3019817914290969,2014-03-03 09:35:01,0.09545705352216295,0.031037336766599227,2014-03-03 09:34:31,0.0,0.033911164244988044,0.11214824351664521,0.15594537428729077,0.0,0.03563546073202133
0.07886468420274723,209739,0.1656916453306252,0.006198179642317356,0.3206985825239941,2014-03-03 09:35:31,0.04299629539570609,0.032421247359813866,2014-03-03 09:35:01,0.0,0.015581270054687017,0.09060308287919748,0.1908371833564573,0.0,0.056107829254454344
0.043944876645357976,145637,0.046609034791982806,0.0013732773951674368,0.3921050282551824,2014-03-03 09:36:01,0.08366005891360025,0.070723785851123,2014-03-03 09:35:31,0.0,0.001716596743959296,0.10024924984722289,0.2101801053303762,0.0,0.04943798622602773
0.03455322310979008,183022,0.15517260220082832,0.007649353629618297,0.4000010927648042,2014-03-03 09:36:31,0.04097868015866945,0.041525062560785045,2014-03-03 09:36:01,0.0,0.0005463824021155927,0.16413873741954518,0.1106315087803652,0.0,0.0448033569734786
0.07110659323262537,120017,0.20636243198880158,0.0016664305889998916,0.539156952765025,2014-03-03 09:37:01,0.023330028245998485,0.020022163526833697,2014-03-03 09:36:31,0.0,0.0,0.04070256713632235,0.06682386661889565,0.0,0.030828965896497997
0.13862330755333618,98526,0.08246554209041268,0.004059842072143394,0.40090940462416014,2014-03-03 09:37:31,0.08296287274425025,0.07072244889673791,2014-03-03 09:37:01,0.0,0.03450865761321885,0.10782940543612854,0.039938696384710634,0.0,0.03797982258490145
0.06982967002079937,88945,0.11468885266175727,0.013491483501039968,0.3837315194783293,2014-03-03 09:38:01,0.0584630951711732,0.04638821743774243,2014-03-03 09:37:31,0.0,0.004497161167013323,0.056192028781831466,0.13579178143796727,0.0,0.1169261903423464
0.08894596651445967,210240,0.08135464231354643,0.008085996955859969,0.47838660578386605,2014-03-03 09:38:31,0.03091704718417047,0.04042998477929985,2014-03-03 09:38:01,0.0,0.004756468797564688,0.11252853881278539,0.12510464231354643,0.0,0.029490106544901064
0.23545935228023793,24208,0.1982815598149372,0.0,0.16969596827495043,2014-03-03 09:39:01,0.12805684071381362,0.061962987442167876,2014-03-03 09:38:31,0.0,0.0,0.04130865829477859,0.0991407799074686,0.0,0.06609385327164574
0.1705509502301465,185534,0.17663608826414565,0.016708527817003892,0.09384263800704992,2014-03-03 09:39:31,0.05551543113391615,0.04521543221188569,2014-03-03 09:39:01,0.0,0.024793299341360615,0.15024200416096242,0.20505136524841808,0.0,0.061444263585111084
0.3470501611624291,194214,0.18898225668592378,0.0,0.10272173993635886,2014-03-03 09:40:01,0.02934906855324539,0.07307918069758101,2014-03-03 09:39:31,0.0,0.027804380734653526,0.13950590585642642,0.06421782157825903,0.0,0.027289484795122904
0.033542976939203356,140238,0.06349919422695703,0.004278440936122877,0.6303569645887706,2014-03-03 09:40:31,0.024244498638029636,0.0023674039846546587,2014-03-03 09:40:01,0.0,0.0028522939574152513,0.02852293957415251,0.2060568462185713,0.0,0.004278440936122877
