BATS BYX,BATS EDGA,NASDAQ BX,NYSE Arca,NASDAQ PSX,totalVolume,BATS EDGX,NASDAQ,NSX,NYSE,CHX,endTime,BATS BZX,startTime,CBSX
0.5,0.0,0.5,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:30:07,0.0,2014-03-13 09:30:02,0.0
0.06590509666080843,0.0,0.0,0.24165202108963094,0.0,4552,0.0,0.21968365553602812,0.0,0.0,0.0,2014-03-13 09:30:12,0.4727592267135325,2014-03-13 09:30:07,0.0
0.75,0.0,0.0,0.0,0.0,400,0.25,0.0,0.0,0.0,0.0,2014-03-13 09:30:17,0.0,2014-03-13 09:30:12,0.0
0.0,0.0,0.0,0.5,0.0,200,0.0,0.5,0.0,0.0,0.0,2014-03-13 09:30:22,0.0,2014-03-13 09:30:17,0.0
0.0,0.0,0.0,0.5649717514124294,0.0,354,0.0,0.4350282485875706,0.0,0.0,0.0,2014-03-13 09:30:27,0.0,2014-03-13 09:30:22,0.0
0.0037718586787830145,0.00084193274079978,0.008116231621309878,0.023466068707324535,0.0,712646,0.029888612298392188,0.005083870533196005,0.0,0.9228228320933535,0.0,2014-03-13 09:30:32,0.006008593326841096,2014-03-13 09:30:27,0.0
0.3358024691358025,0.022518518518518518,0.1382716049382716,0.0,0.0,10125,0.2962962962962963,0.0691358024691358,0.0,0.1379753086419753,0.0,2014-03-13 09:30:37,0.0,2014-03-13 09:30:32,0.0
0.8014559894109861,0.0,0.0,0.0,0.0,1511,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:30:42,0.1985440105890139,2014-03-13 09:30:37,0.0
0.1509433962264151,0.07547169811320754,0.7547169811320755,0.0,0.0,1325,0.0,0.0,0.0,0.018867924528301886,0.0,2014-03-13 09:30:47,0.0,2014-03-13 09:30:42,0.0
0.055401662049861494,0.0,0.2059095106186519,0.0,0.0,5415,0.0,0.7386888273314867,0.0,0.0,0.0,2014-03-13 09:30:52,0.0,2014-03-13 09:30:47,0.0
0.04200410322859303,0.043191879926573806,0.0,0.0,0.0,9261,0.4401252564517871,0.28074721952272974,0.06478781988986071,0.043191879926573806,0.0,2014-03-13 09:30:57,0.08595184105388187,2014-03-13 09:30:52,0.0
0.02702702702702703,0.7567567567567568,0.02702702702702703,0.0,0.0,3700,0.0,0.0,0.08108108108108109,0.10810810810810811,0.0,2014-03-13 09:31:02,0.0,2014-03-13 09:30:57,0.0
0.063778797093233,0.028223728289439778,0.04187496778848632,0.0626578364170489,0.0,155224,0.4579382054321497,0.11310750914806988,0.00033499974230789055,0.11766221718290985,0.0,2014-03-13 09:31:07,0.11442173890635468,2014-03-13 09:31:02,0.0
0.00675310642895732,0.06807131280388978,0.08779038357644517,0.0,0.0,14808,0.09454349000540249,0.0675310642895732,0.0,0.6685575364667747,0.0,2014-03-13 09:31:12,0.00675310642895732,2014-03-13 09:31:07,0.0
0.02737101409607226,0.00456183568267871,0.010264130286027098,0.03343825555403494,0.00912367136535742,87684,0.5341567446740568,0.3097486428538844,0.0,0.057912503991606225,0.0,2014-03-13 09:31:17,0.013423201496282103,2014-03-13 09:31:12,0.0
0.01557894474459878,0.00560842010805556,0.0024926311591358047,0.04611367644401239,0.014955786954814828,160473,0.7529615573959483,0.013161092520237049,0.0,0.0861889539050183,0.0,2014-03-13 09:31:22,0.06293893676817908,2014-03-13 09:31:17,0.0
0.19556714471968709,0.041720990873533245,0.19556714471968709,0.0,0.0,1534,0.0,0.0,0.0,0.5671447196870926,0.0,2014-03-13 09:31:27,0.0,2014-03-13 09:31:22,0.0
0.17084441954908275,0.10082621481585212,0.10082621481585212,0.02520655370396303,0.0,35705,0.0,0.014003640946646127,0.06175605657470942,0.5265368995938944,0.0,2014-03-13 09:31:32,0.0,2014-03-13 09:31:27,0.0
0.1534090909090909,0.03409090909090909,0.0625,0.26704545454545453,0.0625,17600,0.0,0.011363636363636364,0.0,0.4090909090909091,0.0,2014-03-13 09:31:37,0.0,2014-03-13 09:31:32,0.0
0.0,0.0,0.04298815437523882,0.001719526175009553,0.0,20936,0.0,0.0,0.0,0.9552923194497516,0.0,2014-03-13 09:31:42,0.0,2014-03-13 09:31:37,0.0
0.3284671532846715,0.0851581508515815,0.11557177615571776,0.0,0.0,16440,0.0,0.00851581508515815,0.12165450121654502,0.340632603406326,0.0,2014-03-13 09:31:47,0.0,2014-03-13 09:31:42,0.0
0.018442622950819672,0.0030737704918032786,0.0194672131147541,0.015368852459016393,0.0,97600,0.7971311475409836,0.0942622950819672,0.0,0.0,0.0,2014-03-13 09:31:52,0.05225409836065574,2014-03-13 09:31:47,0.0
0.06666666666666667,0.0,0.43333333333333335,0.0,0.0,3000,0.0,0.5,0.0,0.0,0.0,2014-03-13 09:31:57,0.0,2014-03-13 09:31:52,0.0
0.1449814126394052,0.007434944237918215,0.048327137546468404,0.15985130111524162,0.0,26900,0.05204460966542751,0.26394052044609667,0.0,0.3159851301115242,0.0,2014-03-13 09:32:02,0.007434944237918215,2014-03-13 09:31:57,0.0
0.04101722723543889,0.015586546349466776,0.16406890894175555,0.0,0.0,2438,0.0,0.6972928630024611,0.08203445447087777,0.0,0.0,2014-03-13 09:32:07,0.0,2014-03-13 09:32:02,0.0
0.12486046511627907,0.0356046511627907,0.10465116279069768,0.06395348837209303,0.012790697674418604,86000,0.07790697674418605,0.10348837209302325,0.0,0.34767441860465115,0.0,2014-03-13 09:32:12,0.12906976744186047,2014-03-13 09:32:07,0.0
