NASDAQ,NASDAQ PSX,NASDAQ BX,startTime,NYSE Arca,CBSX,CHX,BATS EDGX,endTime,BATS EDGA,totalVolume,BATS BZX,BATS BYX,NSX
0.44169934640522873,0.0,0.03790849673202614,2014-03-03 09:30:01,0.2849673202614379,0.00130718954248366,0.0,0.01738562091503268,2014-03-03 09:30:31,0.026143790849673203,7650,0.024183006535947713,0.16640522875816993,0.0
0.4957391626528344,0.0,0.039644312708410526,2014-03-03 09:30:31,0.2778806965542794,0.0,0.0,0.018525379770285292,2014-03-03 09:31:01,0.041496850685439055,2699,0.05261207854761023,0.07410151908114117,0.0
0.4902360129387804,0.0053911585000599015,0.03989457290044327,2014-03-03 09:31:01,0.22139690906912662,0.0,0.0,0.06469390200071883,2014-03-03 09:31:31,0.08182580567868696,8347,0.07224152390080268,0.024320115011381333,0.0
0.44284660766961653,0.0,0.005346607669616519,2014-03-03 09:31:31,0.36430678466076694,0.0,0.0,0.022492625368731565,2014-03-03 09:32:01,0.0,5424,0.14638643067846607,0.01862094395280236,0.0
0.3847680097680098,0.0,0.033577533577533576,2014-03-03 09:32:01,0.2594627594627595,0.0,0.0,0.1401098901098901,2014-03-03 09:32:31,0.030525030525030524,6552,0.07707570207570208,0.07448107448107448,0.0
0.3927883292045142,0.0,0.15414258188824662,2014-03-03 09:32:31,0.2658959537572254,0.0,0.0,0.11010184420589045,2014-03-03 09:33:01,0.027525461051472612,3633,0.0495458298926507,0.0,0.0
0.3739942066301899,0.0,0.2204699066623753,2014-03-03 09:33:01,0.1364660444158352,0.0,0.0,0.07692307692307693,2014-03-03 09:33:31,0.08850981654328935,3107,0.0067589314451239136,0.09687801738010943,0.0
0.5541941564561734,0.0,0.0051837888784165885,2014-03-03 09:33:31,0.003298774740810556,0.0,0.0,0.4255419415645617,2014-03-03 09:34:01,0.0,2122,0.011310084825636193,0.000471253534401508,0.0
0.5375609756097561,0.0,0.0975609756097561,2014-03-03 09:34:01,0.24682926829268292,0.0,0.0,0.09853658536585366,2014-03-03 09:34:31,0.0,1025,0.01951219512195122,0.0,0.0
0.646606914212548,0.0,0.06658130601792574,2014-03-03 09:34:31,0.1848911651728553,0.0,0.0,0.07451984635083227,2014-03-03 09:35:01,0.0,3905,0.02714468629961588,0.00025608194622279127,0.0
0.6424543946932006,0.0,0.06633499170812604,2014-03-03 09:35:01,0.08092868988391376,0.0,0.0,0.11044776119402985,2014-03-03 09:35:31,0.03316749585406302,3015,0.033499170812603646,0.03316749585406302,0.0
0.5062390816071874,0.0,0.012602944846518593,2014-03-03 09:35:31,0.34477164961317697,0.0,0.0,0.07861242825056151,2014-03-03 09:36:01,0.0,8014,0.050162216121786875,0.007611679560768655,0.0
0.18773324679539186,0.0,0.06003569690085997,2014-03-03 09:36:01,0.4995943533993185,0.0,0.0,0.15495700146032776,2014-03-03 09:36:31,0.0,6163,0.0649034561090378,0.03277624533506409,0.0
0.4268880557043385,0.0,0.10712372790573112,2014-03-03 09:36:31,0.2844134975897161,0.0,0.0,0.10658810926620246,2014-03-03 09:37:01,0.0,1867,0.07498660953401179,0.0,0.0
0.6173160173160173,0.0,0.0017316017316017316,2014-03-03 09:37:01,0.1471861471861472,0.0,0.0,0.09523809523809523,2014-03-03 09:37:31,0.0,1155,0.13852813852813853,0.0,0.0
0.3975409836065574,0.0,0.10245901639344263,2014-03-03 09:37:31,0.28688524590163933,0.0,0.0,0.0,2014-03-03 09:38:01,0.12295081967213115,2440,0.0,0.09016393442622951,0.0
0.5699674569967457,0.0,0.02278010227801023,2014-03-03 09:38:01,0.22268712226871223,0.0,0.0,0.07205950720595072,2014-03-03 09:38:31,0.03765690376569038,2151,0.07438400743840075,0.00046490004649000463,0.0
0.17618002195389681,0.0,0.24313940724478594,2014-03-03 09:38:31,0.0938529088913282,0.0,0.0,0.3221734357848518,2014-03-03 09:39:01,0.0,1822,0.16465422612513722,0.0,0.0
0.18158730158730158,0.0,0.1511111111111111,2014-03-03 09:39:01,0.12126984126984126,0.0,0.0,0.4177777777777778,2014-03-03 09:39:31,0.0,1575,0.02666666666666667,0.10158730158730159,0.0
0.24618414574101427,0.0,0.08370260955194485,2014-03-03 09:39:31,0.5440669620876416,0.0,0.0,0.0014771048744460858,2014-03-03 09:40:01,0.014771048744460856,2031,0.10881339241752831,0.0009847365829640572,0.0
0.518370607028754,0.0,0.07987220447284345,2014-03-03 09:40:01,0.21166134185303515,0.0,0.0,0.17172523961661343,2014-03-03 09:40:31,0.006789137380191693,2504,0.0115814696485623,0.0,0.0
0.4902405810258738,0.0,0.022696323195642305,2014-03-03 09:40:31,0.14798002723558784,0.0,0.0,0.18837948252383113,2014-03-03 09:41:01,0.0,4406,0.14616432137993646,0.004539264639128461,0.0
0.4304372515616127,0.0,0.014196479273140262,2014-03-03 09:41:01,0.1306076093128904,0.0,0.0,0.05678591709256105,2014-03-03 09:41:31,0.05678591709256105,1761,0.23282226007950027,0.07836456558773425,0.0
0.16355140186915887,0.0,0.3894080996884735,2014-03-03 09:41:31,0.2398753894080997,0.0,0.0,0.0,2014-03-03 09:42:01,0.11682242990654206,642,0.09034267912772585,0.0,0.0
0.06051873198847262,0.0,0.0,2014-03-03 09:42:01,0.5187319884726225,0.0,0.0,0.0,2014-03-03 09:42:31,0.0,347,0.36023054755043227,0.06051873198847262,0.0
0.4006024096385542,0.0,0.12248995983935743,2014-03-03 09:42:31,0.47289156626506024,0.0,0.0,0.0,2014-03-03 09:43:01,0.0,996,0.004016064257028112,0.0,0.0
