NYSE Arca,NASDAQ,CBSX,NASDAQ BX,NSX,CHX,totalVolume,BATS BYX,startTime,NASDAQ PSX,BATS EDGA,BATS BZX,endTime,BATS EDGX
0.24347786973731558,0.4626889168765743,0.00022490104354084203,0.05836182079884851,0.0,0.0,44464,0.057754587981288234,2014-03-03 09:30:01,0.0010120546959337892,0.0353094638359122,0.05802446923353724,2014-03-03 09:35:01,0.0831459157970493
0.31201005523765424,0.39572652399695696,0.0,0.06691363741606854,0.0,0.0,30233,0.024675023980418747,2014-03-03 09:35:01,0.0,0.016902060662190323,0.06370522276982106,2014-03-03 09:40:01,0.12006747593689016
0.30233664874125543,0.38928282491790794,0.0,0.050682910579165276,0.0,0.0,21013,0.01955932042069195,2014-03-03 09:40:01,0.0,0.018655118260124684,0.13358397182696427,2014-03-03 09:45:01,0.08589920525389044
0.14577750555087665,0.491386570706684,0.0,0.07013245540157721,0.010336115151979174,0.0,13061,0.06446673302197381,2014-03-03 09:45:01,0.0,7.656381594058648e-05,0.08797182451573386,2014-03-03 09:50:01,0.12985223183523467
0.19671618994723689,0.36128853096362123,0.0,0.03915579005831713,0.0,0.0,28808,0.01319078033879478,2014-03-03 09:50:01,0.0,0.02249375173562899,0.13947514579283532,2014-03-03 09:55:01,0.22767981116356567
0.18685889860553062,0.5605766958165919,0.0,0.03186008035925313,0.0,0.0,21155,0.018908059560387616,2014-03-03 09:55:01,0.002363507445048452,0.01427558496809265,0.07033798156464192,2014-03-03 10:00:01,0.11481919168045379
0.2383915498849613,0.3659799205187199,0.0,0.1061493411420205,0.0,0.0,19124,0.03184480234260615,2014-03-03 10:00:01,0.0,0.04889144530432964,0.11263334030537545,2014-03-03 10:05:01,0.09610960050198704
0.24906774967694295,0.35237216171312535,0.0,0.0461510060919328,0.0,0.0,27085,0.014546797120177219,2014-03-03 10:05:01,0.02997969355731955,0.02584456341148237,0.1144914159128669,2014-03-03 10:10:01,0.16754661251615285
0.1516289955040956,0.4719467881997906,0.0,0.05422799778284166,0.0,0.0,32474,0.041818069840487776,2014-03-03 10:10:01,0.0032333559155016322,0.0,0.07803165609410605,2014-03-03 10:15:01,0.1991131366631767
0.2663489114189926,0.43446298016722545,0.0,0.06323464070767863,0.0,0.0,49514,0.031970755745849656,2014-03-03 10:15:01,0.0030092499091166135,0.025104010986791613,0.07684695237710547,2014-03-03 10:20:01,0.09902249868723997
0.1877269764410094,0.4445479094887792,0.0,0.04137567122947512,0.0,0.0,32217,0.044821057205823016,2014-03-03 10:20:01,0.010863829655151007,0.014961045410807958,0.15023124437408822,2014-03-03 10:25:01,0.10547226619486606
0.18958717905688874,0.5394781003524082,0.00419533478771606,0.06876153717066621,0.0,0.0,23836,0.013131397885551267,2014-03-03 10:25:01,0.0001678133915086424,0.00423728813559322,0.1110505118308441,2014-03-03 10:30:01,0.06939083738882362
0.19413476437020522,0.408752503684668,0.0,0.03820717282037716,0.045236385624126074,0.0,26461,0.014700880541173803,2014-03-03 10:30:01,0.0033256490684403462,0.0199916858773289,0.11197611579305393,2014-03-03 10:35:01,0.1636748422206266
0.29382207972436236,0.40206728238503137,0.0,0.04369048188735225,0.07225917595827153,0.0,20897,0.00847011532755898,2014-03-03 10:35:01,0.0,0.014356127673828779,0.04450399578886922,2014-03-03 10:40:01,0.12083074125472557
0.12200254477831066,0.4159244396593912,0.0001957521777429774,0.04238034648135461,0.07639228736419693,0.0,20434,0.024664774395615152,2014-03-03 10:40:01,0.007389644709797396,0.028628755994910444,0.0654301654105902,2014-03-03 10:45:01,0.21699128902809045
0.1309934364222939,0.4060518411391701,0.0,0.04344198464790299,0.026476804983869173,0.0,17978,0.0020024474357548112,2014-03-03 10:45:01,0.015018355768161086,0.03593280676382245,0.18122149293581044,2014-03-03 10:50:01,0.15886082990321504
0.2025819265143992,0.3360115554753092,0.0,0.04883993861153742,0.06951340615690169,0.0,11077,0.03629141464295387,2014-03-03 10:50:01,0.0,0.011645752460052361,0.13713099214588786,2014-03-03 10:55:01,0.1579850139929584
0.1486893203883495,0.4278640776699029,0.0,0.045533980582524274,0.03140776699029126,0.0,20600,0.01558252427184466,2014-03-03 10:55:01,0.0024271844660194173,0.02470873786407767,0.07048543689320388,2014-03-03 11:00:01,0.2333009708737864
0.24305514246624235,0.3626197132829695,0.0,0.06650407471298554,0.08940574623758253,0.0,16811,0.057045981797632504,2014-03-03 11:00:01,0.0029742430551424662,0.020760216524894414,0.11569805484504193,2014-03-03 11:05:01,0.04193682707750877
0.18314262905800957,0.5346593932943055,0.0,0.03426024481106972,0.05754390633315593,0.0,15032,0.017629058009579562,2014-03-03 11:05:01,0.0017961681745609366,6.652474720596061e-05,0.06665779670037254,2014-03-03 11:10:01,0.10424427887174029
0.12590330788804072,0.4160814249363868,0.0,0.04315521628498728,0.08651399491094147,0.0,9825,0.0438676844783715,2014-03-03 11:10:01,0.0,0.023104325699745548,0.06524173027989821,2014-03-03 11:15:01,0.1961323155216285
0.16731517509727625,0.5897535667963684,0.0,0.0443579766536965,0.0808041504539559,0.0,7710,0.027885862516212712,2014-03-03 11:15:01,0.0,0.013099870298313878,0.020752269779507133,2014-03-03 11:20:01,0.05603112840466926
0.10497484628283958,0.6285075461151481,0.0,0.048630519843487985,0.0010061486864169928,0.0,8945,0.030519843487982114,2014-03-03 11:20:01,0.0,0.00022358859698155394,0.06987143655673561,2014-03-03 11:25:01,0.11626607043040806
