BATS EDGA,CHX,NASDAQ,startTime,BATS EDGX,NYSE Arca,BATS BZX,NASDAQ BX,BATS BYX,NSX,endTime,totalVolume,NASDAQ PSX,CBSX
0.017882522993264583,0.0,0.41868273401244666,2014-03-03 09:30:01,0.13620785775915795,0.2073505015087292,0.10079740902454837,0.05426014297902272,0.027842164608488883,0.031635485619487196,2014-03-03 15:30:01,1034977,0.005134413614988545,0.0002067678798659294
0.024985967279300064,0.0,0.5535328983619051,2014-03-03 15:30:01,0.07972130244246585,0.13725288250106854,0.08765172074628326,0.07317613253067888,0.0347856984690173,0.005664584502726725,2014-03-03 21:30:01,194189,0.0021988887115130104,0.0010299244550412228
0.01925655104635139,0.0,0.42797854952943565,2014-03-04 09:30:01,0.1253364989157257,0.23593114057108674,0.07218836461526958,0.05470911538173932,0.028745286344553523,0.03262437106750275,2014-03-04 15:30:01,748888,0.002963059896806999,0.00026706263152834604
0.01975485984319622,0.0,0.48736038019546774,2014-03-04 15:30:01,0.07921410160025776,0.2144372247878853,0.07321984749221351,0.07671034260552036,0.033455053162925574,0.01550585329180539,2014-03-04 21:30:01,148976,0.000342337020728171,0.0
0.028905192089787774,0.016209716989333503,0.37235639864616965,2014-03-05 09:30:01,0.12420524351412401,0.23588740869970104,0.0989380653545848,0.049656164216029364,0.02532906418022388,0.042044183671815484,2014-03-05 15:30:01,678667,0.005812865514309669,0.0006556971239208625
0.03519089176918915,0.0,0.4729128931335419,2014-03-05 15:30:01,0.07181670626426101,0.14806755898473337,0.09863329491190516,0.09264660911293547,0.05737338571193338,0.01867751875985039,2014-03-05 21:30:01,85022,0.0037402084166451035,0.0009409329350050575
0.03227567004042629,3.2680913366166756e-06,0.3830644238845187,2014-03-06 09:30:01,0.15875407285882825,0.22979584233420156,0.093462510090232,0.04072532019124871,0.027386605400847742,0.026147998784270023,2014-03-06 15:30:01,611978,0.005652163966678541,0.0027321243574115407
0.03564271981369655,0.0,0.5123006309404533,2014-03-06 15:30:01,0.05778656340545371,0.1496520349860543,0.08630750900376398,0.07517804435538465,0.07392564109507434,0.004610197947412602,2014-03-06 21:30:01,147716,0.003242708982100788,0.001353949470605757
0.02390502544316039,0.009310744226407505,0.36719961366618625,2014-03-07 09:30:01,0.15721626127686306,0.24604200262935416,0.11475306044162722,0.03252801602937726,0.02715509589445837,0.01868356008099106,2014-03-07 15:30:01,805521,0.0015691707602905449,0.0016374495512842
0.013167687959931727,0.0,0.45296175046867565,2014-03-07 15:30:01,0.10836341251853718,0.20987156887433897,0.10791012619267466,0.05908391393155936,0.04032009849184364,0.006664987828422731,2014-03-07 21:30:01,178695,0.0016564537340160608,0.0
