startTime,CBSX,NASDAQ,NASDAQ PSX,endTime,NYSE Arca,BATS BYX,BATS EDGX,NASDAQ BX,BATS EDGA,totalVolume,BATS BZX,CHX,NYSE,NSX
2014-03-03 09:30:01,0.0,0.12089960816370485,0.009805697167569367,2014-03-03 09:35:01,0.08216875637865924,0.028194285700300303,0.06330505716012913,0.024137336051631347,0.019632197636255504,3268712,0.05922363303955809,0.0,0.586654927078311,0.00597850162388121
2014-03-03 09:35:01,0.0,0.13296171036969157,0.006506483882412084,2014-03-03 09:40:01,0.12404303319950523,0.04826852190493411,0.14000035614438094,0.04847604449613104,0.047606915228048836,1460082,0.11217041234670382,0.0,0.32735216241279597,0.012614360015396396
2014-03-03 09:40:01,0.0,0.16435002187444833,0.016772329206609923,2014-03-03 09:45:01,0.10796383424540829,0.05273852742748812,0.1652921582021506,0.0542492714913257,0.05546707703643439,1563468,0.16305930150153378,0.0,0.21365963358380216,0.006447845430798712
2014-03-03 09:45:01,0.0003167377818400655,0.11465093234028498,0.005570512617475781,2014-03-03 09:50:01,0.19745840554200622,0.055622321868933906,0.14875997158409615,0.04671882282140966,0.07928082424220485,2210030,0.1405351963548006,0.0,0.20393705062827203,0.007149224218675764
2014-03-03 09:50:01,0.0,0.13959371506888715,0.00784417972758907,2014-03-03 09:55:01,0.09188367081463986,0.07138639339868696,0.1531706828140559,0.05159509215821711,0.08868498863683409,917878,0.1481950760340699,0.0,0.23277603341620565,0.014870167930814335
2014-03-03 09:55:01,0.0,0.13785956772058275,0.005054966105122011,2014-03-03 10:00:01,0.09030031819681378,0.06128481275341343,0.2316624453265508,0.04603211765832686,0.06032569944767844,751736,0.11516809092553769,0.0,0.2415502250790171,0.010761756786957124
2014-03-03 10:00:01,0.0,0.13310356346401017,0.0023053449451226112,2014-03-03 10:05:01,0.14464892592860742,0.06694174057844374,0.12986848207802187,0.04476139751501593,0.07588427111028595,1395019,0.11507943619405901,0.0,0.28389434122402635,0.0035124969624069635
2014-03-03 10:05:01,0.0,0.13166882856316314,0.0061940667606080685,2014-03-03 10:10:01,0.11613000307953601,0.09307897610093413,0.12381834470273145,0.05293419124851856,0.08136507432880112,857272,0.09000993850259895,0.0,0.29070936645545403,0.014091210257654514
2014-03-03 10:10:01,0.0,0.11524782556632296,0.005867540256850198,2014-03-03 10:15:01,0.05665196212539038,0.06015168373844388,0.3181949687568559,0.045833766719605346,0.07359117412863138,1144091,0.0976679302607922,0.0,0.21287729734785082,0.013915851099256965
2014-03-03 10:15:01,0.0003803646632099126,0.1549993609873658,0.00735473112782687,2014-03-03 10:20:01,0.07641906448550354,0.08176090581562355,0.23460283843326274,0.0753928406241632,0.10009980768762627,1314528,0.06934808539643127,0.0,0.19576228121424571,0.0038797195647411087
2014-03-03 10:20:01,0.0,0.12706879336123628,0.005432280160795493,2014-03-03 10:25:01,0.07302795296162741,0.0896352094532022,0.1034720030627713,0.11664657585273865,0.14225848341085112,386578,0.12040002276384068,0.0,0.21037410302707346,0.011684575945863447
2014-03-03 10:25:01,0.0014857755562681775,0.15225237383598772,0.0039682588815329245,2014-03-03 10:30:01,0.10231793368240805,0.0712949400675285,0.21692446936145082,0.09331041937253222,0.07729252072966437,807659,0.07729375887596127,0.0002476292593780296,0.19453630802108315,0.009075612356204785
2014-03-03 10:30:01,0.0030662619200932145,0.1314273449238034,0.004186060773311256,2014-03-03 10:35:01,0.13095636709287709,0.08893876674945574,0.15056695182902524,0.08808634593566983,0.10359427222273326,815325,0.1097599116916567,0.0,0.17690736822739397,0.012510348633980315
2014-03-03 10:35:01,0.0002014013505974571,0.1562169575909176,0.002733016327607493,2014-03-03 10:40:01,0.06765675570620376,0.12086497852054597,0.1879537824180649,0.15696617061514015,0.09937746842530326,496521,0.08751492887511304,0.0,0.10711128028824561,0.01340325988226077
2014-03-03 10:40:01,0.0004962475415069714,0.11791007002052811,0.02156030152000622,2014-03-03 10:45:01,0.1313616867123104,0.08647609658300484,0.15273506832501568,0.10389107697295616,0.08021510676765856,604537,0.08943207777191471,0.0,0.21062896067569065,0.005293307109407695
2014-03-03 10:45:01,0.00085629390290198,0.21848196216893537,0.014157392527979403,2014-03-03 10:50:01,0.09894333332381895,0.07417503218237918,0.18011143237989766,0.06475722640696224,0.07298335650084059,700694,0.08508849797486492,0.0,0.16960898766080487,0.020836484970614848
2014-03-03 10:50:01,0.0008091776933985261,0.21562764879260574,0.011733076554278628,2014-03-03 10:55:01,0.09449374809084637,0.08459345901211542,0.14884419081219188,0.06576187114249822,0.07211391603567664,494329,0.08959417715731831,0.0,0.20125665295784792,0.015172081751222364
2014-03-03 10:55:01,0.004896392338125269,0.005875670805750323,0.0023502683223001293,2014-03-03 11:00:01,0.009675271260135532,0.12903952367895336,0.095254416545889,0.21344353480355674,0.1994104743624897,102116,0.043156802068236126,0.0,0.255199968663089,0.041697677151474793
2014-03-03 11:00:01,0.0005830484493826489,0.13260076534826457,0.0008745726740739733,2014-03-03 11:05:01,0.060582620880519765,0.11843074453343491,0.19568855106629843,0.1338893024214002,0.08141299848213053,514537,0.05875767923395208,0.0,0.1844765293846701,0.03270318752587278
2014-03-03 11:05:01,0.0005033402920128704,0.06679074004864784,0.011350323584890227,2014-03-03 11:10:01,0.165310793755057,0.07600186739248337,0.24095151448802113,0.13409992059806894,0.11342647645437032,794691,0.037199364281211185,0.0,0.1421042895918036,0.012261369513433523
