startTime,CHX,NYSE,endTime,CBSX,BATS BZX,NASDAQ PSX,NASDAQ,totalVolume,NASDAQ BX,NSX,NYSE Arca,BATS EDGA,BATS BYX,BATS EDGX
2014-03-03 10:00:00,3.3868758897958e-05,0.2344710470374404,2014-03-03 10:30:00,0.00028788445063264304,0.09306677716913736,0.005116214719125536,0.13653394233877666,5905147,0.06432049871070102,0.008441449467727052,0.09779299312955292,0.08616398541814455,0.07480050877649616,0.19897083002336774
2014-03-03 10:30:00,0.0,0.1773581812952223,2014-03-03 11:00:00,0.0013711398129453672,0.09202996937683877,0.010521628328247132,0.16088518293342274,3209009,0.0966158088057715,0.014463343667780302,0.10495638996338122,0.08948183068355371,0.09091903450566827,0.1613974906271687
2014-03-03 11:00:00,0.0,0.18834360024177604,2014-03-03 11:30:00,0.0004968801770530212,0.0702237831404464,0.009045849764478796,0.1264703269003913,3421348,0.11821685487708354,0.015335768241055864,0.1031584626878061,0.1001818581448014,0.10417735933322188,0.16434925649188564
2014-03-03 11:30:00,0.0,0.22096725708909554,2014-03-03 12:00:00,0.0004251481641352011,0.08248524610826873,0.00803179908198007,0.1323896377887694,3998606,0.08638985686511749,0.013043295588512596,0.07887723871769312,0.08251800752562267,0.07228619173782062,0.22258632133298453
2014-03-03 12:00:00,0.0,0.19831592089715291,2014-03-03 12:30:00,0.00010701625309343856,0.09755744320335318,0.005251109178873208,0.13091316076962523,5606625,0.07402332062515328,0.0049006309499921965,0.10281443827614652,0.0849826767440305,0.06142090830044813,0.2397133748021314
2014-03-03 12:30:00,0.0,0.16015649853817182,2014-03-03 13:00:00,0.0009914146929639284,0.07954786066164544,0.005188108030302556,0.1807879373880682,1917462,0.08420192942545927,0.008618684490227185,0.06359291605257367,0.09187770083579232,0.0893989033420219,0.23563804654277373
2014-03-03 13:00:00,0.0,0.22295692461772368,2014-03-03 13:30:00,0.0006193989067132836,0.08695074206371328,0.006935361912398889,0.11886169727688417,2098809,0.0995555098153286,0.01311982176558229,0.07372705186608214,0.08997293226777663,0.10014393877670622,0.18715662073109082
2014-03-03 13:30:00,0.0,0.25556634498299485,2014-03-03 14:00:00,0.0003032420619651568,0.07740118857410866,0.004336024550477336,0.13090016395287485,2967926,0.06968671051771506,0.003224473925562834,0.06539718308340572,0.07537721627830343,0.07322992554396572,0.24457752652862638
2014-03-03 14:00:00,0.0,0.23040744614432307,2014-03-03 14:30:00,0.0005336207770585755,0.05914519287722987,0.008918137236591444,0.0805333806477089,1499192,0.14542566929385964,0.003888761412814369,0.05175854727079653,0.10840706193736359,0.10169878174376598,0.20928340065848805
2014-03-03 14:30:00,0.0021698124124842327,0.22070753243146285,2014-03-03 15:00:00,0.0007232708041614109,0.06931104116278801,0.005821606702695196,0.14762897364979807,1382608,0.09554118014650573,0.004310693992802009,0.10402370013771076,0.097088256396607,0.10678876442201983,0.1458851677409649
2014-03-03 15:00:00,0.0,0.237320720196197,2014-03-03 15:30:00,0.00035939589420601293,0.06864820975229052,0.006722638430313551,0.13538719793120665,3617181,0.10888202719189335,0.0037675748047996493,0.06696126071656354,0.10805126975951715,0.07978616497211502,0.18411354035089755
