NASDAQ BX,NYSE,BATS EDGX,CBSX,totalVolume,startTime,NYSE Arca,CHX,NASDAQ PSX,NASDAQ,BATS BYX,BATS EDGA,BATS BZX,endTime,NSX
0.006435006435006435,0.0,0.0,0.0,15540,2014-03-03 09:30:01,0.11583011583011583,0.0,0.0,0.8648648648648649,0.01287001287001287,0.0,0.0,2014-03-03 09:30:06,0.0
0.009793040412613436,0.0,0.11098779134295228,0.0,30634,2014-03-03 09:30:06,0.16321734021022394,0.0,0.06721290069857022,0.5443298296010968,0.032643468042044786,0.016321734021022393,0.05549389567147614,2014-03-03 09:30:11,0.0
0.019199754243145687,0.0,0.038399508486291374,0.0,26042,2014-03-03 09:30:11,0.11519852545887413,0.0,0.08063896782121188,0.5084862913754704,0.042239459334920515,0.026879655940403962,0.16895783733968206,2014-03-03 09:30:16,0.0
0.031144331731624845,0.0,0.03559352197899982,0.0,22476,2014-03-03 09:30:16,0.06709378893041466,0.0,0.09343299519487454,0.3411639081687133,0.07563623420537462,0.01779676098949991,0.3381384588004983,2014-03-03 09:30:21,0.0
0.012254526515731749,0.0,0.15318158144664684,0.0,32641,2014-03-03 09:30:21,0.2859593762446003,0.0,0.03982721117612818,0.25734505683036674,0.036763579547195245,0.009190894886798811,0.20241414172359914,2014-03-03 09:30:26,0.0030636316289329372
0.0,0.0,0.0,0.0,1100,2014-03-03 09:30:26,0.9090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,2014-03-03 09:30:31,0.0
0.021003990758244065,0.0,0.09101729328572429,0.0,28566,2014-03-03 09:30:31,0.22915353917244277,0.0,0.08051529790660225,0.4643982356647763,0.04200798151648813,0.014002660505496044,0.05440033606385213,2014-03-03 09:30:36,0.003500665126374011
0.05263157894736842,0.0,0.0,0.0,1900,2014-03-03 09:30:36,0.0,0.0,0.0,0.8421052631578947,0.05263157894736842,0.05263157894736842,0.0,2014-03-03 09:30:41,0.0
0.02857142857142857,0.0,0.0,0.0,3500,2014-03-03 09:30:41,0.0,0.0,0.0,0.37142857142857144,0.42857142857142855,0.0,0.17142857142857143,2014-03-03 09:30:46,0.0
0.0,0.0,0.09090909090909091,0.0,11000,2014-03-03 09:30:46,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-03 09:30:51,0.0
0.0,0.0,0.0,0.0,2800,2014-03-03 09:30:51,0.2857142857142857,0.0,0.0,0.42857142857142855,0.0,0.0,0.2857142857142857,2014-03-03 09:30:56,0.0
0.0,0.0,0.02564102564102564,0.0,3900,2014-03-03 09:30:56,0.5128205128205128,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,2014-03-03 09:31:01,0.0
0.2222222222222222,0.0,0.0,0.0,900,2014-03-03 09:31:01,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,2014-03-03 09:31:06,0.0
0.0,0.0,0.07065217391304347,0.0,18400,2014-03-03 09:31:06,0.28804347826086957,0.0,0.0,0.29347826086956524,0.0,0.0,0.34782608695652173,2014-03-03 09:31:11,0.0
0.038834951456310676,0.0,0.0048543689320388345,0.0,20600,2014-03-03 09:31:11,0.6359223300970874,0.0,0.024271844660194174,0.09223300970873786,0.043689320388349516,0.0048543689320388345,0.1553398058252427,2014-03-03 09:31:16,0.0
0.003367003367003367,0.0,0.0,0.0,29700,2014-03-03 09:31:16,0.3838383838383838,0.0,0.03367003367003367,0.4612794612794613,0.02356902356902357,0.0,0.09427609427609428,2014-03-03 09:31:21,0.0
0.015810276679841896,0.0,0.07509881422924901,0.0,25300,2014-03-03 09:31:21,0.32806324110671936,0.0,0.039525691699604744,0.26877470355731226,0.04743083003952569,0.015810276679841896,0.20948616600790515,2014-03-03 09:31:26,0.0
0.03209021935957091,0.0,0.13716276617690878,0.0,43627,2014-03-03 09:31:26,0.3035276319710271,0.0,0.03438237788525454,0.1994407133197332,0.045843170513672725,0.03438237788525454,0.21317074288857818,2014-03-03 09:31:31,0.0
0.019688269073010665,0.0,0.13781788351107466,0.0,30475,2014-03-03 09:31:31,0.06562756357670221,0.0,0.016406890894175553,0.30434782608695654,0.1214109926168991,0.029532403609515995,0.3051681706316653,2014-03-03 09:31:36,0.0
0.02774887270204648,0.0,0.0,0.0,14415,2014-03-03 09:31:36,0.9087755809920222,0.0,0.0,0.05549774540409296,0.007977800901838363,0.0,0.0,2014-03-03 09:31:41,0.0
0.0016051384109006734,0.9660583950583876,0.005961151960482846,0.0,1626028,2014-03-03 09:31:41,0.007256332609278561,0.0,0.0013529902314105293,0.0066653218763760525,0.004075575574344353,0.0015374888993301469,0.005241607155596337,2014-03-03 09:31:46,0.0002459982238928235
0.0578368999421631,0.4654555970345444,0.10640675114359324,0.0,76076,2014-03-03 09:31:46,0.15905147484094853,0.0,0.01840264998159735,0.04111677795888322,0.0630947999369052,0.0157736999842263,0.0649744991850255,2014-03-03 09:31:51,0.00788684999211315
0.019197969140454563,0.3411209392725398,0.03702087713035315,0.0,75633,2014-03-03 09:31:51,0.20493699840016924,0.0,0.011899567649042085,0.2287361336982534,0.017875794957227666,0.020216043261539276,0.11899567649042085,2014-03-03 09:31:56,0.0
0.05828638041577618,0.33772100252574316,0.12385855838352439,0.0,20588,2014-03-03 09:31:56,0.12900718865358463,0.0,0.02428599183990674,0.23800272003108608,0.08398095978239752,0.004857198367981349,0.0,2014-03-03 09:32:01,0.0
