CHX,NASDAQ,totalVolume,endTime,NSX,NYSE Arca,BATS BZX,CBSX,NASDAQ PSX,BATS EDGA,BATS EDGX,startTime,BATS BYX,NASDAQ BX
0.0,0.5,200,2014-03-13 09:33:16,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2014-03-13 09:33:11,0.0,0.0
0.0,0.5104761904761905,525,2014-03-13 09:33:21,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.10857142857142857,2014-03-13 09:33:16,0.19047619047619047,0.0
0.0,0.0,10,2014-03-13 09:33:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:33:21,0.0,1.0
0.0,1.0,30,2014-03-13 09:33:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:33:26,0.0,0.0
0.0,0.0,2,2014-03-13 09:33:36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2014-03-13 09:33:31,0.0,0.0
0.0,0.047619047619047616,105,2014-03-13 09:33:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:33:36,0.9523809523809523,0.0
0.0,0.0,7,2014-03-13 09:33:46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2014-03-13 09:33:41,0.0,0.0
0.0,0.625,80,2014-03-13 09:33:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:33:51,0.375,0.0
0.0,0.3258426966292135,890,2014-03-13 09:34:01,0.0,0.2247191011235955,0.11235955056179775,0.0,0.0,0.0,0.2247191011235955,2014-03-13 09:33:56,0.0,0.11235955056179775
0.0,0.0927555856465809,1477,2014-03-13 09:34:06,0.0,0.33852403520649965,0.0947867298578199,0.0,0.0,0.0,0.47393364928909953,2014-03-13 09:34:01,0.0,0.0
0.0,0.0,6,2014-03-13 09:34:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:34:21,0.0,1.0
0.0,0.8,500,2014-03-13 09:34:31,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:34:26,0.0,0.0
0.0,0.0,115,2014-03-13 09:34:36,0.0,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:34:31,0.0,0.13043478260869565
0.0,0.0,2,2014-03-13 09:34:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:34:41,0.0,1.0
0.0,0.0,100,2014-03-13 09:34:51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:34:46,0.0,0.0
0.0,0.5892857142857143,280,2014-03-13 09:35:01,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,2014-03-13 09:34:56,0.0,0.35714285714285715
0.0,0.0,100,2014-03-13 09:35:06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2014-03-13 09:35:01,0.0,0.0
0.0,0.08192090395480225,354,2014-03-13 09:35:11,0.0,0.635593220338983,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:35:06,0.2824858757062147,0.0
0.0,0.6824034334763949,2563,2014-03-13 09:35:16,0.0,0.15879828326180256,0.0015606710885680843,0.0,0.0,0.0,0.0,2014-03-13 09:35:11,0.07920405774483028,0.07803355442840422
0.0,0.0,13,2014-03-13 09:35:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:35:16,0.0,1.0
0.0,1.0,1,2014-03-13 09:35:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:35:21,0.0,0.0
0.0,0.0,100,2014-03-13 09:35:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:35:26,0.0,1.0
0.0,1.0,41,2014-03-13 09:35:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:35:46,0.0,0.0
0.0,0.0,4,2014-03-13 09:36:01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:35:56,0.0,0.0
0.0,0.0,200,2014-03-13 09:36:06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2014-03-13 09:36:01,0.0,0.0
0.0,0.0,30,2014-03-13 09:36:16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:36:11,0.0,0.0
0.0,0.48,625,2014-03-13 09:36:26,0.0,0.36,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:36:21,0.0,0.16
0.0,0.0,170,2014-03-13 09:36:31,0.0,0.35294117647058826,0.0,0.0,0.0,0.0,0.058823529411764705,2014-03-13 09:36:26,0.0,0.5882352941176471
0.0,0.0,503,2014-03-13 09:36:36,0.0,0.9184890656063618,0.0,0.0,0.0,0.0,0.08151093439363817,2014-03-13 09:36:31,0.0,0.0
0.0,0.0,52,2014-03-13 09:36:51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:36:46,0.0,0.0
0.0,0.37037037037037035,270,2014-03-13 09:37:01,0.0,0.25925925925925924,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:36:56,0.0,0.37037037037037035
0.0,1.0,100,2014-03-13 09:37:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:37:06,0.0,0.0
0.0,0.0,103,2014-03-13 09:37:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:37:11,0.0,1.0
0.0,1.0,4,2014-03-13 09:37:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:37:16,0.0,0.0
0.0,0.4725992961287079,1989,2014-03-13 09:37:31,0.0,0.0,0.3564605329311212,0.0,0.0,0.0,0.12066365007541478,2014-03-13 09:37:26,0.0,0.05027652086475616
0.0,0.39603960396039606,1010,2014-03-13 09:37:36,0.0,0.297029702970297,0.19801980198019803,0.0,0.0,0.0,0.009900990099009901,2014-03-13 09:37:31,0.0,0.09900990099009901
0.0,0.5098039215686274,408,2014-03-13 09:37:46,0.0,0.24509803921568626,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:37:41,0.0,0.24509803921568626
0.0,0.0,100,2014-03-13 09:37:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:37:46,0.0,1.0
0.0,0.0,500,2014-03-13 09:37:56,0.0,0.0,0.0,0.0,0.0,0.0,0.528,2014-03-13 09:37:51,0.0,0.472
0.0,0.0,1,2014-03-13 09:38:01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:37:56,0.0,0.0
0.0,1.0,199,2014-03-13 09:38:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:38:01,0.0,0.0
0.0,0.0,100,2014-03-13 09:38:11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2014-03-13 09:38:06,0.0,0.0
0.0,0.0,181,2014-03-13 09:38:21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2014-03-13 09:38:16,0.0,0.0
0.0,0.5,200,2014-03-13 09:38:26,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2014-03-13 09:38:21,0.0,0.0
0.0,0.0,194,2014-03-13 09:38:36,0.0,0.0,0.0979381443298969,0.0,0.0,0.0,0.9020618556701031,2014-03-13 09:38:31,0.0,0.0
0.0,0.0,1,2014-03-13 09:38:41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2014-03-13 09:38:36,0.0,0.0
0.0,0.5,200,2014-03-13 09:38:46,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:38:41,0.0,0.0
0.0,0.4,500,2014-03-13 09:38:51,0.0,0.4,0.2,0.0,0.0,0.0,0.0,2014-03-13 09:38:46,0.0,0.0
0.0,0.24937655860349128,401,2014-03-13 09:39:01,0.0,0.24937655860349128,0.5012468827930174,0.0,0.0,0.0,0.0,2014-03-13 09:38:56,0.0,0.0
0.0,0.07692307692307693,325,2014-03-13 09:39:06,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,2014-03-13 09:39:01,0.6153846153846154,0.0
0.0,1.0,20,2014-03-13 09:39:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:39:06,0.0,0.0
0.0,0.0,100,2014-03-13 09:39:16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2014-03-13 09:39:11,0.0,0.0
0.0,0.0,15,2014-03-13 09:39:21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2014-03-13 09:39:16,0.0,0.0
0.0,0.3194103194103194,1221,2014-03-13 09:39:26,0.01638001638001638,0.0819000819000819,0.3276003276003276,0.0,0.04095004095004095,0.0819000819000819,0.049959049959049956,2014-03-13 09:39:21,0.0819000819000819,0.0
0.0,0.1276864728192162,791,2014-03-13 09:39:31,0.0,0.0,0.1264222503160556,0.0,0.1264222503160556,0.0,0.6194690265486725,2014-03-13 09:39:26,0.0,0.0
0.0,0.5009107468123861,549,2014-03-13 09:39:46,0.0,0.31693989071038253,0.18214936247723132,0.0,0.0,0.0,0.0,2014-03-13 09:39:41,0.0,0.0
0.0,0.0,200,2014-03-13 09:39:56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:39:51,0.0,0.0
0.0,0.3492063492063492,504,2014-03-13 09:40:01,0.0,0.4226190476190476,0.02976190476190476,0.0,0.0,0.0,0.1984126984126984,2014-03-13 09:39:56,0.0,0.0
0.0,0.0,300,2014-03-13 09:40:11,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,2014-03-13 09:40:06,0.0,0.0
0.0,1.0,100,2014-03-13 09:40:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:40:11,0.0,0.0
0.0,0.5,200,2014-03-13 09:40:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:40:16,0.0,0.5
0.0,0.0,90,2014-03-13 09:40:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:40:21,1.0,0.0
0.0,0.0,16,2014-03-13 09:40:31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:40:26,0.0,0.0
0.0,0.0,476,2014-03-13 09:40:36,0.0,0.04201680672268908,0.8529411764705882,0.0,0.10504201680672269,0.0,0.0,2014-03-13 09:40:31,0.0,0.0
0.0,0.0,14,2014-03-13 09:40:46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2014-03-13 09:40:41,0.0,0.0
0.0,0.8843537414965986,294,2014-03-13 09:40:51,0.0,0.11564625850340136,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:40:46,0.0,0.0
0.0,0.0,50,2014-03-13 09:40:56,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2014-03-13 09:40:51,0.0,0.0
0.0,0.6622516556291391,302,2014-03-13 09:41:01,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,2014-03-13 09:40:56,0.33112582781456956,0.0
0.0,0.5843621399176955,243,2014-03-13 09:41:06,0.0,0.0,0.0,0.0,0.0,0.0,0.411522633744856,2014-03-13 09:41:01,0.0,0.00411522633744856
