NSX,BATS EDGA,startTime,CHX,NASDAQ PSX,NASDAQ,totalVolume,CBSX,endTime,BATS BZX,NASDAQ BX,BATS EDGX,BATS BYX,NYSE Arca
0.0,0.0,2014-03-03 09:30:01,0.0,0.0,0.44098054889421795,3753,0.002664535038635758,2014-03-03 09:30:11,0.049293898214761524,0.02664535038635758,0.0037303490540900614,0.21316280309086064,0.26352251532107646
0.0,0.14450867052023122,2014-03-03 09:30:11,0.0,0.0,0.002477291494632535,1211,0.0,2014-03-03 09:30:21,0.0,0.00990916597853014,0.0,0.2535094962840628,0.5895953757225434
0.0,0.009307520476545048,2014-03-03 09:30:21,0.0,0.0,0.6407297096053611,2686,0.0,2014-03-03 09:30:31,0.0,0.06626954579300075,0.04430379746835443,0.06180193596425912,0.17758749069247953
0.0,0.06147091108671789,2014-03-03 09:30:31,0.0,0.0,0.6245883644346871,1822,0.0,2014-03-03 09:30:41,0.07793633369923161,0.0,0.027442371020856202,0.0,0.20856201975850713
0.0,0.0,2014-03-03 09:30:41,0.0,0.0,0.14388489208633093,695,0.0,2014-03-03 09:30:51,0.0,0.14388489208633093,0.0,0.28776978417266186,0.4244604316546763
0.0,0.0,2014-03-03 09:30:51,0.0,0.0,0.5494505494505495,182,0.0,2014-03-03 09:31:01,0.0,0.038461538461538464,0.0,0.0,0.41208791208791207
0.0,0.0,2014-03-03 09:31:01,0.0,0.0,0.5483528161530287,941,0.0,2014-03-03 09:31:11,0.12221041445270989,0.10626992561105207,0.10626992561105207,0.10626992561105207,0.010626992561105207
0.0,0.03716090672612412,2014-03-03 09:31:11,0.0,0.0,0.3916759568933482,2691,0.0,2014-03-03 09:31:21,0.13749535488665923,0.046079524340393904,0.07432181345224824,0.03753251579338536,0.27573392790784096
0.0,0.12364793213149523,2014-03-03 09:31:21,0.0,0.009544008483563097,0.5348886532343584,4715,0.0,2014-03-03 09:31:31,0.025026511134676563,0.023117709437963947,0.05090137857900318,0.0004241781548250265,0.23244962884411452
0.0,0.0,2014-03-03 09:31:31,0.0,0.0,0.22961203483768805,1263,0.0,2014-03-03 09:31:41,0.10451306413301663,0.015043547110055424,0.012668250197941409,0.07996832937450514,0.5581947743467933
0.0,0.0,2014-03-03 09:31:41,0.0,0.0,0.6588235294117647,1360,0.0,2014-03-03 09:31:51,0.07867647058823529,0.0,0.0,0.0,0.2625
0.0,0.0,2014-03-03 09:31:51,0.0,0.0,0.4341306676187076,2801,0.0,2014-03-03 09:32:01,0.19814352017136738,0.003570153516601214,0.03784362727597287,0.0,0.32631203141735093
0.0,0.0,2014-03-03 09:32:01,0.0,0.0,0.6044957472660997,1646,0.0,2014-03-03 09:32:11,0.0,0.012150668286755772,0.3001215066828676,0.0,0.08323207776427703
0.0,0.026532236667551074,2014-03-03 09:32:11,0.0,0.0,0.4048819315468294,3769,0.0,2014-03-03 09:32:21,0.07853542053595118,0.05306447333510215,0.026532236667551074,0.09286282833642875,0.31759087291058635
0.0,0.08795074758135445,2014-03-03 09:32:21,0.0,0.0,0.0,1137,0.0,2014-03-03 09:32:31,0.1838170624450308,0.0,0.2849604221635884,0.12137203166226913,0.32189973614775724
0.0,0.03741114852225964,2014-03-03 09:32:31,0.0,0.0,0.3546576879910213,2673,0.0,2014-03-03 09:32:41,0.06322484100261878,0.1833146277590722,0.14964459408903855,0.0,0.21174710063598953
0.0,0.0,2014-03-03 09:32:41,0.0,0.0,0.8626198083067093,313,0.0,2014-03-03 09:32:51,0.0,0.13738019169329074,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:32:51,0.0,0.0,0.3230293663060278,647,0.0,2014-03-03 09:33:01,0.017001545595054096,0.04173106646058733,0.0,0.0,0.6182380216383307
0.0,0.11194029850746269,2014-03-03 09:33:01,0.0,0.0,0.08507462686567165,670,0.0,2014-03-03 09:33:11,0.029850746268656716,0.34328358208955223,0.05223880597014925,0.29850746268656714,0.0791044776119403
0.0,0.0,2014-03-03 09:33:11,0.0,0.0,0.0,230,0.0,2014-03-03 09:33:21,0.0,0.0,0.0,0.0,1.0
0.0,0.09062075215224287,2014-03-03 09:33:21,0.0,0.0,0.5006796556411418,2207,0.0,2014-03-03 09:33:31,0.00045310376076121433,0.20616221114635253,0.09243316719528773,0.04576347983688265,0.06388763026733121
0.0,0.0,2014-03-03 09:33:31,0.0,0.0,0.7272727272727273,110,0.0,2014-03-03 09:33:41,0.20909090909090908,0.06363636363636363,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:33:41,0.0,0.0,0.9345794392523364,107,0.0,2014-03-03 09:33:51,0.009345794392523364,0.037383177570093455,0.0,0.009345794392523364,0.009345794392523364
0.0,0.0,2014-03-03 09:33:51,0.0,0.0,0.5228346456692914,1905,0.0,2014-03-03 09:34:01,0.0,0.0,0.47401574803149604,0.0,0.0031496062992125984
0.0,0.0,2014-03-03 09:34:01,0.0,0.0,0.0,100,0.0,2014-03-03 09:34:11,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:34:11,0.0,0.0,0.6913827655310621,499,0.0,2014-03-03 09:34:21,0.0,0.0,0.008016032064128256,0.0,0.30060120240480964
0.0,0.0,2014-03-03 09:34:21,0.0,0.0,0.4835680751173709,426,0.0,2014-03-03 09:34:31,0.046948356807511735,0.0,0.22769953051643194,0.0,0.24178403755868544
0.0,0.0,2014-03-03 09:34:31,0.0,0.0,0.5858116480793061,3228,0.0,2014-03-03 09:34:41,0.031598513011152414,0.080545229244114,0.07806691449814127,0.0003097893432465923,0.22366790582403964
