TimeInterval,TradeCount,Volume,Direct Edge X,BATS,Direct Edge A,BATS Y,NASDAQ,NASDAQ OMX PSX,NYSE Arca SM,NASDAQ OMX BX,CBOE
2014-03-13 09:42:22,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:42:28,1,80,0,0,0,0,0,0,80,0,0
2014-03-13 09:42:38,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 09:42:39,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 09:42:47,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 09:43:03,4,227,0,0,0,0,7,0,220,0,0
2014-03-13 09:43:16,2,90,0,0,0,0,90,0,0,0,0
2014-03-13 09:43:19,2,80,0,0,0,0,0,0,80,0,0
2014-03-13 09:43:34,2,200,0,0,0,0,200,0,0,0,0
2014-03-13 09:43:45,6,408,0,0,0,0,408,0,0,0,0
2014-03-13 09:43:46,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:43:47,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:43:50,6,128,0,80,0,0,48,0,0,0,0
2014-03-13 09:43:53,1,1,0,0,0,0,0,1,0,0,0
2014-03-13 09:44:03,2,100,0,0,0,75,25,0,0,0,0
2014-03-13 09:44:08,1,5,5,0,0,0,0,0,0,0,0
2014-03-13 09:44:11,3,281,0,0,81,0,200,0,0,0,0
2014-03-13 09:44:34,1,1,0,0,0,0,1,0,0,0,0
2014-03-13 09:44:53,1,6,0,0,0,0,6,0,0,0,0
2014-03-13 09:44:54,4,387,0,387,0,0,0,0,0,0,0
2014-03-13 09:44:56,2,50,0,0,0,0,50,0,0,0,0
2014-03-13 09:44:59,2,120,0,0,100,0,20,0,0,0,0
2014-03-13 09:46:16,1,4,0,0,0,0,4,0,0,0,0
2014-03-13 09:46:24,1,100,100,0,0,0,0,0,0,0,0
2014-03-13 09:46:25,1,15,0,0,0,0,0,0,15,0,0
2014-03-13 09:46:28,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 09:46:30,1,20,0,0,0,0,20,0,0,0,0
2014-03-13 09:46:39,1,2,0,2,0,0,0,0,0,0,0
2014-03-13 09:46:46,1,7,0,0,0,0,7,0,0,0,0
2014-03-13 09:46:57,2,200,0,200,0,0,0,0,0,0,0
2014-03-13 09:46:58,5,610,0,0,0,0,210,0,400,0,0
2014-03-13 09:47:00,1,1,0,0,0,0,0,0,1,0,0
2014-03-13 09:47:18,1,3,3,0,0,0,0,0,0,0,0
2014-03-13 09:47:32,2,76,0,0,0,0,0,0,76,0,0
2014-03-13 09:47:33,1,100,0,100,0,0,0,0,0,0,0
2014-03-13 09:48:29,8,901,401,0,200,0,300,0,0,0,0
