TimeInterval,TradeCount,Volume,NYSE,Direct Edge A,BATS Y,NASDAQ OMX,Direct Edge X,BATS
2014-03-13 10:30:31,1,1,1,0,0,0,0,0
2014-03-13 10:31:51,1,1,0,0,0,1,0,0
2014-03-13 10:32:01,1,1,0,0,0,1,0,0
2014-03-13 10:32:10,1,1,0,0,0,1,0,0
2014-03-13 10:33:10,1,1,0,0,0,1,0,0
2014-03-13 10:36:08,2,2,0,0,0,2,0,0
2014-03-13 10:36:13,1,1,1,0,0,0,0,0
2014-03-13 10:36:18,1,1,1,0,0,0,0,0
2014-03-13 10:36:20,1,1,0,0,0,1,0,0
2014-03-13 10:37:55,1,1,0,0,0,1,0,0
2014-03-13 10:38:12,1,1,0,0,0,1,0,0
2014-03-13 10:38:52,1,1,0,0,0,0,1,0
2014-03-13 10:51:01,1,1,0,0,0,1,0,0
2014-03-13 10:52:20,1,1,0,0,0,1,0,0
2014-03-13 10:56:27,1,1,0,0,0,1,0,0
2014-03-13 10:57:27,1,1,1,0,0,0,0,0
2014-03-13 10:58:31,1,1,0,0,0,1,0,0
2014-03-13 10:58:41,3,7,5,0,0,1,1,0
2014-03-13 10:58:44,1,1,0,0,0,0,0,1
2014-03-13 10:58:46,4,5,2,0,0,3,0,0
2014-03-13 10:59:02,1,2,2,0,0,0,0,0
2014-03-13 10:59:53,1,1,1,0,0,0,0,0
2014-03-13 11:00:06,1,1,0,0,0,1,0,0
2014-03-13 11:00:43,1,1,0,0,0,0,0,1
2014-03-13 11:01:05,2,3,2,0,0,1,0,0
2014-03-13 11:02:09,1,1,0,0,0,1,0,0
2014-03-13 11:15:22,1,1,1,0,0,0,0,0
2014-03-13 11:15:40,1,1,0,0,0,1,0,0
2014-03-13 11:17:43,1,1,0,0,0,1,0,0
2014-03-13 11:19:21,1,1,1,0,0,0,0,0
2014-03-13 11:21:56,1,1,0,0,0,1,0,0
2014-03-13 11:22:26,1,1,0,0,0,0,0,1
2014-03-13 11:24:19,1,1,0,0,0,1,0,0
2014-03-13 11:24:50,1,1,0,0,0,0,0,1
2014-03-13 11:28:52,1,1,0,0,0,1,0,0
2014-03-13 11:29:14,1,1,0,0,0,1,0,0
2014-03-13 11:36:22,1,1,0,0,0,1,0,0
2014-03-13 11:36:53,1,1,0,0,0,0,1,0
2014-03-13 11:37:05,1,1,0,0,0,0,0,1
2014-03-13 11:37:28,1,1,1,0,0,0,0,0
2014-03-13 11:40:25,1,1,0,0,0,1,0,0
2014-03-13 11:43:25,1,1,0,0,0,1,0,0
2014-03-13 11:49:08,2,2,0,0,0,2,0,0
2014-03-13 11:49:11,1,1,0,0,0,1,0,0
2014-03-13 11:50:22,1,1,0,0,0,1,0,0
2014-03-13 11:50:32,1,1,1,0,0,0,0,0
2014-03-13 11:51:54,1,1,0,0,0,1,0,0
2014-03-13 11:51:55,3,3,0,0,0,1,1,1
2014-03-13 11:51:56,2,2,0,0,0,1,1,0
2014-03-13 11:52:08,1,15,15,0,0,0,0,0
2014-03-13 11:52:21,1,1,0,0,0,1,0,0
2014-03-13 11:55:28,1,1,0,0,0,1,0,0
2014-03-13 11:55:45,1,1,1,0,0,0,0,0
2014-03-13 11:56:23,1,1,0,0,0,0,0,1
2014-03-13 11:56:24,1,1,0,0,0,1,0,0
2014-03-13 11:57:02,1,1,0,0,0,1,0,0
2014-03-13 11:58:25,2,2,0,0,0,2,0,0
2014-03-13 12:03:23,1,1,0,0,0,1,0,0
2014-03-13 12:05:59,1,1,0,0,0,1,0,0
2014-03-13 12:06:10,1,1,0,0,0,1,0,0
2014-03-13 12:06:13,1,1,0,0,0,1,0,0
2014-03-13 12:08:19,1,1,0,0,0,0,0,1
2014-03-13 12:08:20,1,1,0,0,0,1,0,0
2014-03-13 12:08:22,1,1,1,0,0,0,0,0
2014-03-13 12:08:23,1,1,0,0,0,1,0,0
2014-03-13 12:08:31,2,4,3,0,1,0,0,0
2014-03-13 12:11:07,1,1,0,0,0,0,0,1
2014-03-13 12:11:25,1,1,0,0,0,1,0,0
2014-03-13 12:12:48,1,1,0,0,0,1,0,0
2014-03-13 12:14:39,1,1,0,0,0,1,0,0
2014-03-13 12:14:45,2,2,1,0,0,0,0,1
2014-03-13 12:14:46,1,1,1,0,0,0,0,0
2014-03-13 12:14:48,2,4,3,0,0,1,0,0
2014-03-13 12:14:50,1,2,2,0,0,0,0,0
2014-03-13 12:14:55,1,2,2,0,0,0,0,0
2014-03-13 12:15:33,2,2,0,0,0,1,1,0
2014-03-13 12:16:27,1,1,0,0,0,1,0,0
2014-03-13 12:18:56,1,1,0,0,1,0,0,0
2014-03-13 12:18:57,1,1,0,0,0,1,0,0
2014-03-13 12:22:16,1,1,0,0,0,0,0,1
2014-03-13 12:22:31,1,1,1,0,0,0,0,0
2014-03-13 12:22:54,1,1,0,0,0,1,0,0
2014-03-13 12:24:37,1,1,0,0,0,1,0,0
2014-03-13 12:25:56,1,1,0,0,0,1,0,0
2014-03-13 12:28:26,1,1,0,0,0,1,0,0
2014-03-13 12:31:50,1,1,0,0,1,0,0,0
2014-03-13 12:32:30,1,1,0,0,0,1,0,0
2014-03-13 12:33:53,1,4,4,0,0,0,0,0
2014-03-13 12:38:45,1,1,0,0,0,1,0,0
2014-03-13 12:39:07,1,1,0,0,0,1,0,0
2014-03-13 12:51:04,2,2,1,0,0,0,0,1
2014-03-13 12:51:59,1,1,0,0,0,0,0,1
2014-03-13 12:52:02,1,1,0,0,0,0,0,1
2014-03-13 12:52:32,1,1,1,0,0,0,0,0
2014-03-13 12:58:20,1,1,0,0,0,0,0,1
2014-03-13 13:00:45,1,1,0,0,0,1,0,0
2014-03-13 13:00:47,1,1,0,0,0,1,0,0
2014-03-13 13:00:50,4,4,1,0,0,0,2,1
2014-03-13 13:00:51,2,2,1,0,0,1,0,0
2014-03-13 13:01:15,1,2,2,0,0,0,0,0
2014-03-13 13:02:06,1,1,0,0,0,1,0,0
2014-03-13 13:02:41,1,1,0,0,0,1,0,0
2014-03-13 13:08:30,1,1,1,0,0,0,0,0
2014-03-13 13:15:01,1,1,0,0,0,1,0,0
2014-03-13 13:17:30,1,1,0,0,1,0,0,0
2014-03-13 13:21:32,1,1,1,0,0,0,0,0
2014-03-13 13:24:16,1,1,0,0,0,1,0,0
2014-03-13 13:37:44,2,2,0,0,0,2,0,0
2014-03-13 13:41:30,1,1,0,0,0,1,0,0
2014-03-13 13:57:06,1,1,0,0,0,0,0,1
