TimeInterval,TradeCount,Volume,BATS,NYSE,NASDAQ OMX PSX,Direct Edge A,CBOE,NASDAQ OMX,NYSE Arca SM,National,BATS Y,NASDAQ OMX BX,Direct Edge X
2014-03-13 10:16:03,1,57,0,0,0,0,0,57,0,0,0,0,0
2014-03-13 10:17:18,1,2,0,2,0,0,0,0,0,0,0,0,0
2014-03-13 10:17:27,2,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 10:18:05,2,100,0,0,0,0,0,40,60,0,0,0,0
2014-03-13 10:18:47,3,285,0,0,0,0,0,100,0,0,0,0,185
2014-03-13 10:19:56,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 10:20:06,1,3,0,0,0,0,0,0,3,0,0,0,0
2014-03-13 10:20:44,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 10:20:52,3,160,0,0,0,0,0,160,0,0,0,0,0
2014-03-13 10:27:19,3,73,0,0,0,0,0,0,73,0,0,0,0
2014-03-13 10:30:00,1,15,0,0,0,0,0,15,0,0,0,0,0
2014-03-13 10:30:50,1,85,0,0,0,0,0,85,0,0,0,0,0
2014-03-13 10:34:57,1,4,0,4,0,0,0,0,0,0,0,0,0
2014-03-13 10:35:03,1,2,0,2,0,0,0,0,0,0,0,0,0
2014-03-13 10:35:15,1,23,0,0,0,0,0,23,0,0,0,0,0
2014-03-13 10:36:51,1,2,0,0,0,0,0,2,0,0,0,0,0
2014-03-13 10:37:05,1,4,0,0,0,0,0,4,0,0,0,0,0
2014-03-13 10:38:13,1,9,0,0,0,0,0,9,0,0,0,0,0
2014-03-13 10:38:18,4,164,0,0,0,0,0,164,0,0,0,0,0
2014-03-13 10:38:19,3,103,0,0,0,0,0,100,3,0,0,0,0
2014-03-13 10:38:33,2,5,0,0,0,0,0,0,5,0,0,0,0
2014-03-13 10:38:41,1,6,0,0,0,0,0,6,0,0,0,0,0
2014-03-13 10:38:42,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 10:39:21,3,32,0,0,0,0,0,32,0,0,0,0,0
2014-03-13 10:39:29,7,26,0,0,0,0,0,26,0,0,0,0,0
